"compound","SMILES","BXPC3_DC","CAPAN2_DC","CFPAC1_DC","HPAFII_DC","PANC10.05_DC","SW1990_DC","BXPC3","CAPAN2","CFPAC1","HPAFII","PANC10.05","SW1990"
"STF-31","CC(C)(C)c1ccc(S(=O)(=O)NCc2ccc(C(=O)Nc3cccnc3)cc2)cc1",0.76,0.97,0.78,0.84,0.78,0.73,498.5,614.1,556.3,595.4,527,541.5
"Tosedostat","CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@H](O)C(=O)NO",0.53,0.83,0.84,0.91,0.87,0.85,553.1,690.6,614.2,748.7,855.7,659.3
"AR-42","CC(C)[C@H](C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1",0.64,0.95,0.89,0.8,0.56,0.92,609.2,608.2,634.8,680.2,623.3,638.1
"Simvastatin","CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21",0.81,0.95,0.99,0.86,1.02,0.66,616.5,704.5,605.1,747.8,674.7,607.9
"Ki-8751","COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC",0.97,1.06,0.98,0.99,0.58,0.94,582.4,628.1,589.4,657.9,638.5,606.8
"Ceranib-2","COc1ccc(/C=C/C(=O)c2c(-c3ccccc3)c3ccccc3[nH]c2=O)cc1",0.6,0.87,0.89,0.88,0.85,0.88,526.2,587.2,483.8,679.9,557.8,635.7
"FMK","Cc1ccc(-c2c(C(=O)CF)n(CCCO)c3ncnc(N)c23)cc1",0.97,1.01,0.75,0.89,0.82,1.06,593.3,638.4,626.6,685.8,599.9,609.4
"Selumetinib","Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21",0.48,0.65,1.02,0.67,0.72,0.67,549.1,511.8,728.2,644.4,547.6,581.4
"Gemcitabine","Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1",0.47,0.89,0.38,0.73,0.51,0.58,523.7,620.8,508.5,672.8,812.8,480.2
"AS-605240","O=C1NC(=O)/C(=C/c2ccc3nccnc3c2)S1",0.92,0.89,0.88,0.53,0.64,0.89,591.1,594.9,607.5,633.5,670.4,655.2
"SMER 3","O=C1c2ccccc2-c2nc3nonc3nc21",0.66,0.5,0.96,0.99,0.6,0.6,551.4,502.4,521.8,576.6,466.7,483.1
"PI-103","Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1",1.03,0.656,0.8,0.91,0.56,0.81,598.9,561.9,508.4,611.1,551.1,527.4
