cell ID,smiles,AAC,y,y_quartiles
CVCL_0186,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,0.24525,interm,sensitive
CVCL_0026,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,0.132198,resistant,interm
CVCL_1119,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,0.191585,interm,sensitive
CVCL_0313,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,0.212963,interm,sensitive
CVCL_1639,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,0.247061,sensitive,sensitive
CVCL_1723,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,0.300434,sensitive,sensitive
CVCL_0042,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,0.15255,resistant,interm
CVCL_0186,Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1,0.00834507,resistant,resistant
CVCL_0026,Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1,0.0299758,resistant,interm
CVCL_1119,Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1,0.0085892,resistant,resistant
CVCL_0313,Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1,0.0157071,resistant,resistant
CVCL_1639,Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1,0.0246809,resistant,resistant
CVCL_1723,Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1,0.0407198,resistant,interm
CVCL_0042,Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1,0.0536775,resistant,resistant
CVCL_0026,Brc1ccc(cc1)\C=C1/SC(NS(=O)(=O)c2cccc3ccccc23)=NC1=O,0.0138696,resistant,resistant
CVCL_1639,Brc1ccc(cc1)\C=C1/SC(NS(=O)(=O)c2cccc3ccccc23)=NC1=O,0.0399724,resistant,interm
CVCL_1723,Brc1ccc(cc1)\C=C1/SC(NS(=O)(=O)c2cccc3ccccc23)=NC1=O,0.00503735,resistant,resistant
CVCL_0186,C1=C(C(=O)NC(=O)N1)F,0.218389,interm,interm
CVCL_0026,C1=C(C(=O)NC(=O)N1)F,0.0718721,resistant,interm
CVCL_1119,C1=C(C(=O)NC(=O)N1)F,0.0835343,resistant,interm
CVCL_0313,C1=C(C(=O)NC(=O)N1)F,0.0805993,resistant,interm
CVCL_1639,C1=C(C(=O)NC(=O)N1)F,0.105474,interm,interm
CVCL_1723,C1=C(C(=O)NC(=O)N1)F,0.17101,interm,interm
CVCL_0042,C1=C(C(=O)NC(=O)N1)F,0.202811,resistant,interm
CVCL_0186,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,0.0826124,resistant,interm
CVCL_0026,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,0.178699,resistant,sensitive
CVCL_1119,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,0.0,resistant,resistant
CVCL_0313,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,0.036259,resistant,interm
CVCL_1639,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,0.0105187,resistant,resistant
CVCL_1723,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,0.139794,interm,interm
CVCL_0042,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,0.567504,sensitive,sensitive
CVCL_0186,C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N,0.180079,interm,interm
CVCL_0026,C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N,0.0177607,resistant,resistant
CVCL_1119,C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N,0.0274092,resistant,interm
CVCL_0313,C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N,0.0402911,resistant,interm
CVCL_1639,C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N,0.0242057,resistant,resistant
CVCL_1723,C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N,0.0119274,resistant,resistant
CVCL_0042,C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N,0.0522426,resistant,resistant
CVCL_0186,C1=C/C(=C/NNC(=O)COC2=C(C=C(C=C2Cl)Cl)Cl)/N=C1,0.0262193,resistant,resistant
CVCL_0026,C1=C/C(=C/NNC(=O)COC2=C(C=C(C=C2Cl)Cl)Cl)/N=C1,0.0298095,resistant,resistant
CVCL_1119,C1=C/C(=C/NNC(=O)COC2=C(C=C(C=C2Cl)Cl)Cl)/N=C1,0.0738258,resistant,interm
CVCL_0313,C1=C/C(=C/NNC(=O)COC2=C(C=C(C=C2Cl)Cl)Cl)/N=C1,0.0875346,resistant,interm
CVCL_1639,C1=C/C(=C/NNC(=O)COC2=C(C=C(C=C2Cl)Cl)Cl)/N=C1,0.00801492,resistant,resistant
CVCL_1723,C1=C/C(=C/NNC(=O)COC2=C(C=C(C=C2Cl)Cl)Cl)/N=C1,0.0128245,resistant,resistant
