SMILES,ID,exercises,raw_BXPC3_classifier,raw_CAPAN2_classifier,raw_CFPAC1_classifier,raw_HEK293_classifier,HEK293,BXPC3,CAPAN2,CFPAC1,inchi
N1C2C=C(C=CC=2SC2C=CC=CC=2C=1C)C(NCCC1C=CC=CC=1)=O,MCULE-5830374764,['BXPC3_vs_CAPAN' 'BXPC3_vs_HEK'],0.63,0.05,,0.78,0.0,1.0,0.0,,"InChI=1S/C23H20N2OS/c1-16-19-9-5-6-10-21(19)27-22-12-11-18(15-20(22)25-16)23(26)24-14-13-17-7-3-2-4-8-17/h2-12,15H,13-14H2,1H3,(H,24,26)"
N1C2C=C(C=CC=2SC2C=CC(Cl)=CC=2C=1CC)C(NCCCOCC)=O,MCULE-1829460973,['BXPC3_vs_HEK'],0.88,,,0.68,0.0,1.0,,,"InChI=1S/C21H23ClN2O2S/c1-3-17-16-13-15(22)7-9-19(16)27-20-8-6-14(12-18(20)24-17)21(25)23-10-5-11-26-4-2/h6-9,12-13H,3-5,10-11H2,1-2H3,(H,23,25)"
N1C2C=C(C=CC=2SC2C=CC(Cl)=CC=2C=1CC)C(NCCCC1C=CC=CC=1)=O,MCULE-2883797677,['BXPC3_vs_HEK'],0.72,,,0.79,0.0,1.0,,,"InChI=1S/C25H23ClN2OS/c1-2-21-20-16-19(26)11-13-23(20)30-24-12-10-18(15-22(24)28-21)25(29)27-14-6-9-17-7-4-3-5-8-17/h3-5,7-8,10-13,15-16H,2,6,9,14H2,1H3,(H,27,29)"
C12C(C)=CC=C(C)C=1C(C)=NC1C=C(C=CC=1S2)C(=O)NCC1=CC=C(C=C1)F,MCULE-7427575619,['BXPC3_vs_HEK'],0.65,,,0.79,0.0,1.0,,,"InChI=1S/C24H21FN2OS/c1-14-4-5-15(2)23-22(14)16(3)27-20-12-18(8-11-21(20)29-23)24(28)26-13-17-6-9-19(25)10-7-17/h4-12H,13H2,1-3H3,(H,26,28)"
N1C2C=C(C=CC=2SC2C=CC=CC=2C=1CC)C(NCCCOC(C)C)=O,MCULE-2326121181,['BXPC3_vs_CAPAN'],0.86,0.09,,,,1.0,0.0,,"InChI=1S/C22H26N2O2S/c1-4-18-17-8-5-6-9-20(17)27-21-11-10-16(14-19(21)24-18)22(25)23-12-7-13-26-15(2)3/h5-6,8-11,14-15H,4,7,12-13H2,1-3H3,(H,23,25)"
N1C2C=C(C=CC=2SC2C=CC(Cl)=CC=2C=1CC)C(NCCC1C=CC=CC=1)=O,MCULE-3283587573,['BXPC3_vs_CAPAN'],0.61,0.2,,,,1.0,0.0,,"InChI=1S/C24H21ClN2OS/c1-2-20-19-15-18(25)9-11-22(19)29-23-10-8-17(14-21(23)27-20)24(28)26-13-12-16-6-4-3-5-7-16/h3-11,14-15H,2,12-13H2,1H3,(H,26,28)"
N1C2C=C(C=CC=2SC2C=CC(Cl)=CC=2C=1CC)C(NCCCSCCC)=O,MCULE-2669944889,['BXPC3_vs_HEK'],0.66,,,0.62,0.0,1.0,,,"InChI=1S/C22H25ClN2OS2/c1-3-11-27-12-5-10-24-22(26)15-6-8-21-19(13-15)25-18(4-2)17-14-16(23)7-9-20(17)28-21/h6-9,13-14H,3-5,10-12H2,1-2H3,(H,24,26)"
N1C2C=C(C=CC=2SC2C=CC=CC=2C=1CCC)C(NCCC1C=CC(=CC=1)Cl)=O,MCULE-7396656778,['BXPC3_vs_CAPAN'],0.83,0.17,,,,1.0,0.0,,"InChI=1S/C25H23ClN2OS/c1-2-5-21-20-6-3-4-7-23(20)30-24-13-10-18(16-22(24)28-21)25(29)27-15-14-17-8-11-19(26)12-9-17/h3-4,6-13,16H,2,5,14-15H2,1H3,(H,27,29)"
N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1C)C(=O)NCC1=CC=C(C=C1)Cl,MCULE-5074289166,['BXPC3_vs_CAPAN' 'BXPC3_vs_HEK'],0.72,0.14,,0.82,0.0,1.0,0.0,,"InChI=1S/C23H19ClN2OS/c1-14-3-9-21-19(11-14)15(2)26-20-12-17(6-10-22(20)28-21)23(27)25-13-16-4-7-18(24)8-5-16/h3-12H,13H2,1-2H3,(H,25,27)"
N1C2C=C(C=CC=2SC2C=CC=CC=2C=1CCC)C(=O)NCC1=CC=CC=C1OC,MCULE-1253350417,['BXPC3_vs_HEK'],0.83,,,0.7,0.0,1.0,,,"InChI=1S/C25H24N2O2S/c1-3-8-20-19-10-5-7-12-23(19)30-24-14-13-17(15-21(24)27-20)25(28)26-16-18-9-4-6-11-22(18)29-2/h4-7,9-15H,3,8,16H2,1-2H3,(H,26,28)"
