smiles,inchi,total_score,raw_HEK_classifier,raw_CAPAN_classifier
c1cc(NC(N2Cc3c[nH]c(=O)nc3CC2)=O)ccc1C(=O)N1CCC(c2ccccn2)CC1,"InChI=1S/C25H26N6O3/c32-23(30-12-8-17(9-13-30)21-3-1-2-11-26-21)18-4-6-20(7-5-18)28-25(34)31-14-10-22-19(16-31)15-27-24(33)29-22/h1-7,11,15,17H,8-10,12-14,16H2,(H,28,34)(H,27,29,33)",0.2867586016654968,0.22,0.06
S(Nc1ccc(C(=O)N2CCCCCC2)cc1)(=O)(=O)c1sccc1,"InChI=1S/C17H20N2O3S2/c20-17(19-11-3-1-2-4-12-19)14-7-9-15(10-8-14)18-24(21,22)16-6-5-13-23-16/h5-10,13,18H,1-4,11-12H2",0.3067120313644409,0.24,0.0
c1c(NC(=O)N2Cc3ccccc3C2)ccc(C(=O)N2CCCCC2)c1,"InChI=1S/C21H23N3O2/c25-20(23-12-4-1-5-13-23)16-8-10-19(11-9-16)22-21(26)24-14-17-6-2-3-7-18(17)15-24/h2-3,6-11H,1,4-5,12-15H2,(H,22,26)",0.3763589560985565,0.31,0.09
c1(NC(N2Cc3ccccc3C2)=O)ccc(C(N2CCCCCC2)=O)cc1,"InChI=1S/C22H25N3O2/c26-21(24-13-5-1-2-6-14-24)17-9-11-20(12-10-17)23-22(27)25-15-18-7-3-4-8-19(18)16-25/h3-4,7-12H,1-2,5-6,13-16H2,(H,23,27)",0.3763589560985565,0.31,0.09
c1c(NC(=O)N2Cc3ccccc3C2)ccc(C(N2CCC(c3sccn3)CC2)=O)c1,"InChI=1S/C24H24N4O2S/c29-23(27-12-9-17(10-13-27)22-25-11-14-31-22)18-5-7-21(8-6-18)26-24(30)28-15-19-3-1-2-4-20(19)16-28/h1-8,11,14,17H,9-10,12-13,15-16H2,(H,26,30)",0.3156764209270477,0.25,0.05
C(=O)(c1cc(OC)c(-c2sc3c(cccc3)c2)cc1)Nc1cnn(C)c1,"InChI=1S/C20H17N3O2S/c1-23-12-15(11-21-23)22-20(24)14-7-8-16(17(9-14)25-2)19-10-13-5-3-4-6-18(13)26-19/h3-12H,1-2H3,(H,22,24)",0.3669396638870239,0.3,0.07
C(c1c2c(cc([N+](=O)[O-])c1N1CCCCC1)CC(C)(C)CN2)(NC1CC1)=O,"InChI=1S/C20H28N4O3/c1-20(2)11-13-10-15(24(26)27)18(23-8-4-3-5-9-23)16(17(13)21-12-20)19(25)22-14-6-7-14/h10,14,21H,3-9,11-12H2,1-2H3,(H,22,25)",0.2437371015548706,0.17,0.06
c1(NC)c(N2CCCCC2)cc(NC(c2ccc(OC)c(NC(=O)c3ccoc3)c2)=O)cc1,"InChI=1S/C25H28N4O4/c1-26-20-8-7-19(15-22(20)29-11-4-3-5-12-29)27-24(30)17-6-9-23(32-2)21(14-17)28-25(31)18-10-13-33-16-18/h6-10,13-16,26H,3-5,11-12H2,1-2H3,(H,27,30)(H,28,31)",0.3984120190143585,0.32749668,0.06
C(CCCCCCc1oc(=O)cc(C)c1)CCC1CCCCC1,"InChI=1S/C21H34O2/c1-18-16-20(23-21(22)17-18)15-11-6-4-2-3-5-8-12-19-13-9-7-10-14-19/h16-17,19H,2-15H2,1H3",0.2679699957370758,0.2,0.08
c1(-c2n[nH]c(=NC(=O)c3ccc(C)cc3)s2)ccc(NC(=O)C2CC2)cc1,"InChI=1S/C20H18N4O2S/c1-12-2-4-13(5-3-12)18(26)22-20-24-23-19(27-20)15-8-10-16(11-9-15)21-17(25)14-6-7-14/h2-5,8-11,14H,6-7H2,1H3,(H,21,25)(H,22,24,26)",0.1925175487995147,0.1,0.07
