smiles,inchi,total_score,raw_HEK_classifier,raw_CFPAC_classifier
c1(-c2cccc(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c[nH]c(=N)cn1,"InChI=1S/C22H23N5O/c23-21-15-24-20(14-25-21)17-5-4-6-18(13-17)26-22(28)16-7-9-19(10-8-16)27-11-2-1-3-12-27/h4-10,13-15H,1-3,11-12H2,(H2,23,25)(H,26,28)",0.56190025806427,0.5474967,0.21
c1ccc(-c2c(-c3ccnc(N4CCOCC4)c3)nc(C3CC3)[nH]2)cc1N1CCOCC1,"InChI=1S/C25H29N5O2/c1-2-19(16-21(3-1)29-8-12-31-13-9-29)23-24(28-25(27-23)18-4-5-18)20-6-7-26-22(17-20)30-10-14-32-15-11-30/h1-3,6-7,16-18H,4-5,8-15H2,(H,27,28)",0.386670857667923,0.37,0.2
c1(-c2sc3ccc(OCC4CC4)cc3n2)cc(N2CCOCC2)ccc1OC,"InChI=1S/C22H24N2O3S/c1-25-20-6-4-16(24-8-10-26-11-9-24)12-18(20)22-23-19-13-17(5-7-21(19)28-22)27-14-15-2-3-15/h4-7,12-13,15H,2-3,8-11,14H2,1H3",0.3253111541271209,0.26,0.06
[nH]1c(=NC(=O)NC2CCC(CC3COCCO3)CC2)[nH]c(C)cc1=NC1CCCCC1,"InChI=1S/C23H37N5O3/c1-16-13-21(25-18-5-3-2-4-6-18)27-22(24-16)28-23(29)26-19-9-7-17(8-10-19)14-20-15-30-11-12-31-20/h13,17-20H,2-12,14-15H2,1H3,(H3,24,25,26,27,28,29)",0.332512766122818,0.27,0.1
c1ccccc1-c1[nH]c(=N)[nH]c(=NCCN=c2ncc(-c3cnccc3)c[nH]2)c1,"InChI=1S/C21H20N8/c22-20-28-18(15-5-2-1-3-6-15)11-19(29-20)24-9-10-25-21-26-13-17(14-27-21)16-7-4-8-23-12-16/h1-8,11-14H,9-10H2,(H,25,26,27)(H3,22,24,28,29)",0.4641425609588623,0.49,0.23
[nH]1c(CNc2ccc(-c3c[nH]c(=N)cc3)cc2)cc(-c2cnc(OC)cc2)c1OC,"InChI=1S/C23H23N5O2/c1-29-22-10-6-17(13-27-22)20-11-19(28-23(20)30-2)14-25-18-7-3-15(4-8-18)16-5-9-21(24)26-12-16/h3-13,25,28H,14H2,1-2H3,(H2,24,26)",0.3047384321689605,0.25,0.14
Cc1ccc2[nH]c(O)c(NC(=O)C3CCCCC3)c2c1,"InChI=1S/C16H20N2O2/c1-10-7-8-13-12(9-10)14(16(20)17-13)18-15(19)11-5-3-2-4-6-11/h7-9,11,17,20H,2-6H2,1H3,(H,18,19)",0.251048594713211,0.18,0.08
S=c1[nH]c(-c2cc3c(cc2)CCCC3)c(O)[nH]1,"InChI=1S/C13H14N2OS/c16-12-11(14-13(17)15-12)10-6-5-8-3-1-2-4-9(8)7-10/h5-7,16H,1-4H2,(H2,14,15,17)",0.2528228461742401,0.18,0.0
c1c(=NCCCn2cncc2)[nH]c(NC2CC2)cc1C,"InChI=1S/C15H21N5/c1-12-9-14(19-15(10-12)18-13-3-4-13)17-5-2-7-20-8-6-16-11-20/h6,8-11,13H,2-5,7H2,1H3,(H2,17,18,19)",0.3468440175056457,0.28,0.03
n1cc(-c2nc[nH]n2)cc(NS(=O)(=O)c2ccccc2)c1NC1CCCC1,"InChI=1S/C18H20N6O2S/c25-27(26,15-8-2-1-3-9-15)24-16-10-13(17-20-12-21-23-17)11-19-18(16)22-14-6-4-5-7-14/h1-3,8-12,14,24H,4-7H2,(H,19,22)(H,20,21,23)",0.4813191592693329,0.53,0.24
C(N=c1[nH]c(=NCC2CC2)[nH]c(=NCC2CCCO2)[nH]1)CN1CCOCC1,"InChI=1S/C18H31N7O2/c1-2-15(27-9-1)13-21-18-23-16(19-5-6-25-7-10-26-11-8-25)22-17(24-18)20-12-14-3-4-14/h14-15H,1-13H2,(H3,19,20,21,22,23,24)",0.3715978860855102,0.31,0.12
c1ccc(-c2[nH]c(=NCCN=c3[nH]cccn3)nc(C)c2)cc1OC1CCCC1,"InChI=1S/C22H26N6O/c1-16-14-20(17-6-4-9-19(15-17)29-18-7-2-3-8-18)28-22(27-16)26-13-12-25-21-23-10-5-11-24-21/h4-6,9-11,14-15,18H,2-3,7-8,12-13H2,1H3,(H,23,24,25)(H,26,27,28)",0.3960822820663452,0.46,0.25
c1(=NC=NO)[nH]cc2c([nH]c(=N)[nH]c2=O)n1,"InChI=1S/C7H7N7O2/c8-6-12-4-3(5(15)14-6)1-9-7(13-4)10-2-11-16/h1-2,16H,(H4,8,9,10,11,12,13,14,15)",0.2883124649524688,0.28,0.21
c1(-c2c(-c3ccncc3)[nH]c(=NCCN=c3[nH]ccs3)[nH]2)ccccc1,"InChI=1S/C19H18N6S/c1-2-4-14(5-3-1)16-17(15-6-8-20-9-7-15)25-18(24-16)21-10-11-22-19-23-12-13-26-19/h1-9,12-13H,10-11H2,(H,22,23)(H2,21,24,25)",0.5783413052558899,0.48,0.12
c1c(CNCc2ccc(-c3cc4c([nH]c(=N)s4)cc3)cc2)ccc(-c2ccccc2)c1,"InChI=1S/C27H23N3S/c28-27-30-25-15-14-24(16-26(25)31-27)23-12-8-20(9-13-23)18-29-17-19-6-10-22(11-7-19)21-4-2-1-3-5-21/h1-16,29H,17-18H2,(H2,28,30)",0.457176923751831,0.38,0.1
c1ccc(-c2cc(OCCNS(=O)(=O)c3cn(C)cn3)ccc2)c(C)c1,"InChI=1S/C19H21N3O3S/c1-15-6-3-4-9-18(15)16-7-5-8-17(12-16)25-11-10-21-26(23,24)19-13-22(2)14-20-19/h3-9,12-14,21H,10-11H2,1-2H3",0.2442102432250976,0.17,0.04
