id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,BXPC3_classifier,CAPAN_classifier,Custom_alerts,MW,raw_BXPC3_classifier,raw_CAPAN_classifier,raw_MW,valid,qryInchis,inchi_to_buy
MCULE-6814427357,https://mcule.com/MCULE-6814427357/,,N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1C)C(NCCOC)=O,CC1=Nc2cc(C(=O)NCCF)ccc2Sc2c1cccc2,0.928709055876686,0.943409,0.9170328,0.9554058,1.0,1.0,0.75,0.089090906,340.448,1,"InChI=1S/C17H15FN2OS/c1-11-13-4-2-3-5-15(13)22-16-7-6-12(10-14(16)20-11)17(21)19-9-8-18/h2-7,10H,8-9H2,1H3,(H,19,21)","InChI=1S/C19H20N2O2S/c1-12-4-6-17-15(10-12)13(2)21-16-11-14(5-7-18(16)24-17)19(22)20-8-9-23-3/h4-7,10-11H,8-9H2,1-3H3,(H,20,22)"
MCULE-6017073447,https://mcule.com/MCULE-6017073447/,,N1C2C=C(C=CC=2SC2C=CC=CC=2C=1C)C(=O)NCC(OC)OC,CC1=Nc2cc(C(=O)NCCF)ccc2Sc2c1cccc2,0.9077212806026366,0.0,0.7826946,0.98003215,0.0,1.0,0.61,0.05909091,356.447,1,"InChI=1S/C17H15FN2OS/c1-11-13-4-2-3-5-15(13)22-16-7-6-12(10-14(16)20-11)17(21)19-9-8-18/h2-7,10H,8-9H2,1H3,(H,19,21)","InChI=1S/C19H20N2O3S/c1-12-14-6-4-5-7-16(14)25-17-9-8-13(10-15(17)21-12)19(22)20-11-18(23-2)24-3/h4-10,18H,11H2,1-3H3,(H,20,22)"
MCULE-9681315168,https://mcule.com/MCULE-9681315168/,,N1C2C=C(C=CC=2SC2C=CC=CC=2C=1CC)C(NCCCC)=O,CC1=Nc2cc(C(=O)NCCF)ccc2Sc2c1cccc2,0.9144486692015208,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,338.476,1,"InChI=1S/C17H15FN2OS/c1-11-13-4-2-3-5-15(13)22-16-7-6-12(10-14(16)20-11)17(21)19-9-8-18/h2-7,10H,8-9H2,1H3,(H,19,21)","InChI=1S/C20H22N2OS/c1-3-5-12-21-20(23)14-10-11-19-17(13-14)22-16(4-2)15-8-6-7-9-18(15)24-19/h6-11,13H,3-5,12H2,1-2H3,(H,21,23)"
MCULE-3588716120,https://mcule.com/MCULE-3588716120/,,N1C2C=C(C=CC=2SC2C=CC=CC=2C=1CCC)C(NCCC)=O,CC1=Nc2cc(C(=O)NCCF)ccc2Sc2c1cccc2,0.8957169459962756,0.9685936,0.95449746,0.97319597,1.0,1.0,0.83,0.07,338.476,1,"InChI=1S/C17H15FN2OS/c1-11-13-4-2-3-5-15(13)22-16-7-6-12(10-14(16)20-11)17(21)19-9-8-18/h2-7,10H,8-9H2,1H3,(H,19,21)","InChI=1S/C20H22N2OS/c1-3-7-16-15-8-5-6-9-18(15)24-19-11-10-14(13-17(19)22-16)20(23)21-12-4-2/h5-6,8-11,13H,3-4,7,12H2,1-2H3,(H,21,23)"
MCULE-6742382703,https://mcule.com/MCULE-6742382703/,,N1C2C=C(C=CC=2SC2C=CC=CC=2C=1CC)C(=O)NC(C)CC,CC1=Nc2cc(C(=O)NCCF)ccc2Sc2c1cccc2,0.8990654205607477,0.87565285,0.796008,0.97319597,1.0,1.0,0.62,0.07,338.476,1,"InChI=1S/C17H15FN2OS/c1-11-13-4-2-3-5-15(13)22-16-7-6-12(10-14(16)20-11)17(21)19-9-8-18/h2-7,10H,8-9H2,1H3,(H,19,21)","InChI=1S/C20H22N2OS/c1-4-13(3)21-20(23)14-10-11-19-17(12-14)22-16(5-2)15-8-6-7-9-18(15)24-19/h6-13H,4-5H2,1-3H3,(H,21,23)"
MCULE-5830374764,https://mcule.com/MCULE-5830374764/,,N1C2C=C(C=CC=2SC2C=CC=CC=2C=1C)C(NCCC1C=CC=CC=1)=O,CC1=Nc2cc(C(=O)NCCF)ccc2Sc2c1cccc2,0.9412915851272016,0.885635,0.80870515,0.98439837,1.0,1.0,0.63,0.05,372.493,1,"InChI=1S/C17H15FN2OS/c1-11-13-4-2-3-5-15(13)22-16-7-6-12(10-14(16)20-11)17(21)19-9-8-18/h2-7,10H,8-9H2,1H3,(H,19,21)","InChI=1S/C23H20N2OS/c1-16-19-9-5-6-10-21(19)27-22-12-11-18(15-20(22)25-16)23(26)24-14-13-17-7-3-2-4-8-17/h2-12,15H,13-14H2,1H3,(H,24,26)"
MCULE-2970648486,https://mcule.com/MCULE-2970648486/,,C1(C(=O)NC2C=CC=CC=2)=C(N)C2=C(N=C3C(CCCC3)=C2)S1,N(c1ccccc1)C(c1sc2c(cc3c(n2)CCCC3)c1N)=O,1.0,0.9748658,0.957852,0.99312925,1.0,1.0,0.84,0.02,323.421,1,"InChI=1S/C18H17N3OS/c19-15-13-10-11-6-4-5-9-14(11)21-18(13)23-16(15)17(22)20-12-7-2-1-3-8-12/h1-3,7-8,10H,4-6,9,19H2,(H,20,22)","InChI=1S/C18H17N3OS/c19-15-13-10-11-6-4-5-9-14(11)21-18(13)23-16(15)17(22)20-12-7-2-1-3-8-12/h1-3,7-8,10H,4-6,9,19H2,(H,20,22)"
ZINC000002388563,ZINC000002388563,0.0,Nc1c(C(=O)Nc2ccccc2)sc3nc4c(cc13)CCCC4,N(c1ccccc1)C(c1sc2c(cc3c(n2)CCCC3)c1N)=O,1.0,0.9748658,0.957852,0.99312925,1.0,1.0,0.84,0.02,323.421,1,"InChI=1S/C18H17N3OS/c19-15-13-10-11-6-4-5-9-14(11)21-18(13)23-16(15)17(22)20-12-7-2-1-3-8-12/h1-3,7-8,10H,4-6,9,19H2,(H,20,22)","InChI=1S/C18H17N3OS/c19-15-13-10-11-6-4-5-9-14(11)21-18(13)23-16(15)17(22)20-12-7-2-1-3-8-12/h1-3,7-8,10H,4-6,9,19H2,(H,20,22)"
MCULE-1719165469,https://mcule.com/MCULE-1719165469/,,C1(C(=O)NC2C=CC=CC=2)=C(N)C2=C(N=C3C(CCCCC3)=C2)S1,N(c1ccccc1)C(c1sc2c(cc3c(n2)CCCC3)c1N)=O,0.9789303079416533,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,337.448,1,"InChI=1S/C18H17N3OS/c19-15-13-10-11-6-4-5-9-14(11)21-18(13)23-16(15)17(22)20-12-7-2-1-3-8-12/h1-3,7-8,10H,4-6,9,19H2,(H,20,22)","InChI=1S/C19H19N3OS/c20-16-14-11-12-7-3-1-6-10-15(12)22-19(14)24-17(16)18(23)21-13-8-4-2-5-9-13/h2,4-5,8-9,11H,1,3,6-7,10,20H2,(H,21,23)"
MCULE-4697363780,https://mcule.com/MCULE-4697363780/,,C1(C(=O)NC2C=CC=CC=2)=C(N)C2=C(N=C3C(CCCCCC3)=C2)S1,N(c1ccccc1)C(c1sc2c(cc3c(n2)CCCC3)c1N)=O,0.98371335504886,0.0,0.98793066,0.99603474,0.0,1.0,1.0,0.0,351.475,1,"InChI=1S/C18H17N3OS/c19-15-13-10-11-6-4-5-9-14(11)21-18(13)23-16(15)17(22)20-12-7-2-1-3-8-12/h1-3,7-8,10H,4-6,9,19H2,(H,20,22)","InChI=1S/C20H21N3OS/c21-17-15-12-13-8-4-1-2-7-11-16(13)23-20(15)25-18(17)19(24)22-14-9-5-3-6-10-14/h3,5-6,9-10,12H,1-2,4,7-8,11,21H2,(H,22,24)"
