id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,BXPC3_classifier,HEK_classifier,Custom_alerts,MW,raw_BXPC3_classifier,raw_HEK_classifier,raw_MW,valid,qryInchis,inchi_to_buy
ZINC000005159007,ZINC000005159007,0.0,C[n+]1ccc(\C=C/c2c[nH]c3ccccc23)cc1,c12[nH]cc(C=Cc3cc[n+](C)cc3)c1cccc2,1.0,0.99905443,0.9999085,0.9978235,1.0,1.0,1.0,1.0,235.31,1,"InChI=1S/C16H14N2/c1-18-10-8-13(9-11-18)6-7-14-12-17-16-5-3-2-4-15(14)16/h2-12H,1H3/p+1","InChI=1S/C16H14N2/c1-18-10-8-13(9-11-18)6-7-14-12-17-16-5-3-2-4-15(14)16/h2-12H,1H3/p+1"
MCULE-6357406581,https://mcule.com/MCULE-6357406581/,,[N+]1(C)C=CC(=CC=1)/C=C/C1C2C=CC=CC=2NC=1,c12[nH]cc(C=Cc3cc[n+](C)cc3)c1cccc2,1.0,0.99905443,0.9999085,0.9978235,1.0,1.0,1.0,1.0,235.31,1,"InChI=1S/C16H14N2/c1-18-10-8-13(9-11-18)6-7-14-12-17-16-5-3-2-4-15(14)16/h2-12H,1H3/p+1","InChI=1S/C16H14N2/c1-18-10-8-13(9-11-18)6-7-14-12-17-16-5-3-2-4-15(14)16/h2-12H,1H3/p+1"
ZINC000004712625,ZINC000004712625,3.0,COCCNC(=O)c1ccc2c(c1)N=C(C)c3cc(Cl)ccc3S2,CC1=Nc2cc(C(=O)NCCN)ccc2Sc2ccc(C)cc21,0.5846153846153846,0.87556446,0.99361867,0.7315967,1.0,1.0,0.68,0.77,360.866,1,"InChI=1S/C18H19N3OS/c1-11-3-5-16-14(9-11)12(2)21-15-10-13(4-6-17(15)23-16)18(22)20-8-7-19/h3-6,9-10H,7-8,19H2,1-2H3,(H,20,22)","InChI=1S/C18H17ClN2O2S/c1-11-14-10-13(19)4-6-16(14)24-17-5-3-12(9-15(17)21-11)18(22)20-7-8-23-2/h3-6,9-10H,7-8H2,1-2H3,(H,20,22)"
MCULE-8749518880,https://mcule.com/MCULE-8749518880/,,N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1CC)C(NC)=O,CC1=Nc2cc(C(=O)NCCN)ccc2Sc2ccc(C)cc21,0.9154135338345863,0.99905443,0.9999085,0.9978235,1.0,1.0,1.0,1.0,310.422,1,"InChI=1S/C18H19N3OS/c1-11-3-5-16-14(9-11)12(2)21-15-10-13(4-6-17(15)23-16)18(22)20-8-7-19/h3-6,9-10H,7-8,19H2,1-2H3,(H,20,22)","InChI=1S/C18H18N2OS/c1-4-14-13-9-11(2)5-7-16(13)22-17-8-6-12(18(21)19-3)10-15(17)20-14/h5-10H,4H2,1-3H3,(H,19,21)"
ZINC000006728357,ZINC000006728357,2.0,COCCNC(=O)c1ccc2c(c1)N=C(C)c3cc(C)ccc3S2,CC1=Nc2cc(C(=O)NCCN)ccc2Sc2ccc(C)cc21,0.7586206896551724,0.76544297,0.99747217,0.52782506,1.0,1.0,0.75,0.73,340.448,1,"InChI=1S/C18H19N3OS/c1-11-3-5-16-14(9-11)12(2)21-15-10-13(4-6-17(15)23-16)18(22)20-8-7-19/h3-6,9-10H,7-8,19H2,1-2H3,(H,20,22)","InChI=1S/C19H20N2O2S/c1-12-4-6-17-15(10-12)13(2)21-16-11-14(5-7-18(16)24-17)19(22)20-8-9-23-3/h4-7,10-11H,8-9H2,1-3H3,(H,20,22)"
MCULE-6814427357,https://mcule.com/MCULE-6814427357/,,N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1C)C(NCCOC)=O,CC1=Nc2cc(C(=O)NCCN)ccc2Sc2ccc(C)cc21,0.9557692307692308,0.76544297,0.99747217,0.52782506,1.0,1.0,0.75,0.73,340.448,1,"InChI=1S/C18H19N3OS/c1-11-3-5-16-14(9-11)12(2)21-15-10-13(4-6-17(15)23-16)18(22)20-8-7-19/h3-6,9-10H,7-8,19H2,1-2H3,(H,20,22)","InChI=1S/C19H20N2O2S/c1-12-4-6-17-15(10-12)13(2)21-16-11-14(5-7-18(16)24-17)19(22)20-8-9-23-3/h4-7,10-11H,8-9H2,1-3H3,(H,20,22)"
ZINC000004930040,ZINC000004930040,2.0,CCCCNC(=O)c1ccc2c(c1)N=C(C)c3cc(C)ccc3S2,CC1=Nc2cc(C(=O)NCCN)ccc2Sc2ccc(C)cc21,0.7719298245614035,0.9147247,0.99711406,0.8097521,1.0,1.0,0.74,0.79,338.476,1,"InChI=1S/C18H19N3OS/c1-11-3-5-16-14(9-11)12(2)21-15-10-13(4-6-17(15)23-16)18(22)20-8-7-19/h3-6,9-10H,7-8,19H2,1-2H3,(H,20,22)","InChI=1S/C20H22N2OS/c1-4-5-10-21-20(23)15-7-9-19-17(12-15)22-14(3)16-11-13(2)6-8-18(16)24-19/h6-9,11-12H,4-5,10H2,1-3H3,(H,21,23)"
MCULE-6254148835,https://mcule.com/MCULE-6254148835/,,N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1CC)C(=O)NC(C)CC,CC1=Nc2cc(C(=O)NCCN)ccc2Sc2ccc(C)cc21,0.9036363636363636,0.6941643,0.9980608,0.4172078,1.0,1.0,0.77,0.71,352.503,1,"InChI=1S/C18H19N3OS/c1-11-3-5-16-14(9-11)12(2)21-15-10-13(4-6-17(15)23-16)18(22)20-8-7-19/h3-6,9-10H,7-8,19H2,1-2H3,(H,20,22)","InChI=1S/C21H24N2OS/c1-5-14(4)22-21(24)15-8-10-20-18(12-15)23-17(6-2)16-11-13(3)7-9-19(16)25-20/h7-12,14H,5-6H2,1-4H3,(H,22,24)"
MCULE-5830374764,https://mcule.com/MCULE-5830374764/,,N1C2C=C(C=CC=2SC2C=CC=CC=2C=1C)C(NCCC1C=CC=CC=1)=O,CC1=Nc2cc(C(=O)NCCN)ccc2Sc2ccc(C)cc21,0.9163498098859316,0.89366335,0.98767555,0.7730422,1.0,1.0,0.63,0.78,372.493,1,"InChI=1S/C18H19N3OS/c1-11-3-5-16-14(9-11)12(2)21-15-10-13(4-6-17(15)23-16)18(22)20-8-7-19/h3-6,9-10H,7-8,19H2,1-2H3,(H,20,22)","InChI=1S/C23H20N2OS/c1-16-19-9-5-6-10-21(19)27-22-12-11-18(15-20(22)25-16)23(26)24-14-13-17-7-3-2-4-8-17/h2-12,15H,13-14H2,1H3,(H,24,26)"
MCULE-2040607482,https://mcule.com/MCULE-2040607482/,,N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1C)C(=O)NCC1=CC=C(C=C1)C,CC1=Nc2cc(C(=O)NCCN)ccc2Sc2ccc(C)cc21,0.9169741697416974,0.91525906,0.99851257,0.8097521,1.0,1.0,0.79,0.79,386.52,1,"InChI=1S/C18H19N3OS/c1-11-3-5-16-14(9-11)12(2)21-15-10-13(4-6-17(15)23-16)18(22)20-8-7-19/h3-6,9-10H,7-8,19H2,1-2H3,(H,20,22)","InChI=1S/C24H22N2OS/c1-15-4-7-18(8-5-15)14-25-24(27)19-9-11-23-21(13-19)26-17(3)20-12-16(2)6-10-22(20)28-23/h4-13H,14H2,1-3H3,(H,25,27)"
ZINC000004712625,ZINC000004712625,2.0,COCCNC(=O)c1ccc2c(c1)N=C(C)c3cc(Cl)ccc3S2,CC1=Nc2cc(C(=O)NCCC)ccc2Sc2ccc(C)cc21,0.1264367816091954,0.87556446,0.99361867,0.7315967,1.0,1.0,0.68,0.77,360.866,1,"InChI=1S/C19H20N2OS/c1-4-9-20-19(22)14-6-8-18-16(11-14)21-13(3)15-10-12(2)5-7-17(15)23-18/h5-8,10-11H,4,9H2,1-3H3,(H,20,22)","InChI=1S/C18H17ClN2O2S/c1-11-14-10-13(19)4-6-16(14)24-17-5-3-12(9-15(17)21-11)18(22)20-7-8-23-2/h3-6,9-10H,7-8H2,1-2H3,(H,20,22)"
MCULE-8749518880,https://mcule.com/MCULE-8749518880/,,N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1CC)C(NC)=O,CC1=Nc2cc(C(=O)NCCC)ccc2Sc2ccc(C)cc21,0.920754716981132,0.99905443,0.9999085,0.9978235,1.0,1.0,1.0,1.0,310.422,1,"InChI=1S/C19H20N2OS/c1-4-9-20-19(22)14-6-8-18-16(11-14)21-13(3)15-10-12(2)5-7-17(15)23-18/h5-8,10-11H,4,9H2,1-3H3,(H,20,22)","InChI=1S/C18H18N2OS/c1-4-14-13-9-11(2)5-7-16(13)22-17-8-6-12(18(21)19-3)10-15(17)20-14/h5-10H,4H2,1-3H3,(H,19,21)"
ZINC000006728357,ZINC000006728357,1.0,COCCNC(=O)c1ccc2c(c1)N=C(C)c3cc(C)ccc3S2,CC1=Nc2cc(C(=O)NCCC)ccc2Sc2ccc(C)cc21,0.127906976744186,0.76544297,0.99747217,0.52782506,1.0,1.0,0.75,0.73,340.448,1,"InChI=1S/C19H20N2OS/c1-4-9-20-19(22)14-6-8-18-16(11-14)21-13(3)15-10-12(2)5-7-17(15)23-18/h5-8,10-11H,4,9H2,1-3H3,(H,20,22)","InChI=1S/C19H20N2O2S/c1-12-4-6-17-15(10-12)13(2)21-16-11-14(5-7-18(16)24-17)19(22)20-8-9-23-3/h4-7,10-11H,8-9H2,1-3H3,(H,20,22)"
MCULE-6814427357,https://mcule.com/MCULE-6814427357/,,N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1C)C(NCCOC)=O,CC1=Nc2cc(C(=O)NCCC)ccc2Sc2ccc(C)cc21,0.957610789980732,0.76544297,0.99747217,0.52782506,1.0,1.0,0.75,0.73,340.448,1,"InChI=1S/C19H20N2OS/c1-4-9-20-19(22)14-6-8-18-16(11-14)21-13(3)15-10-12(2)5-7-17(15)23-18/h5-8,10-11H,4,9H2,1-3H3,(H,20,22)","InChI=1S/C19H20N2O2S/c1-12-4-6-17-15(10-12)13(2)21-16-11-14(5-7-18(16)24-17)19(22)20-8-9-23-3/h4-7,10-11H,8-9H2,1-3H3,(H,20,22)"
ZINC000004930040,ZINC000004930040,1.0,CCCCNC(=O)c1ccc2c(c1)N=C(C)c3cc(C)ccc3S2,CC1=Nc2cc(C(=O)NCCC)ccc2Sc2ccc(C)cc21,0.1162790697674418,0.9147247,0.99711406,0.8097521,1.0,1.0,0.74,0.79,338.476,1,"InChI=1S/C19H20N2OS/c1-4-9-20-19(22)14-6-8-18-16(11-14)21-13(3)15-10-12(2)5-7-17(15)23-18/h5-8,10-11H,4,9H2,1-3H3,(H,20,22)","InChI=1S/C20H22N2OS/c1-4-5-10-21-20(23)15-7-9-19-17(12-15)22-14(3)16-11-13(2)6-8-18(16)24-19/h6-9,11-12H,4-5,10H2,1-3H3,(H,21,23)"
MCULE-6254148835,https://mcule.com/MCULE-6254148835/,,N1C2C=C(C=CC=2SC2C=CC(C)=CC=2C=1CC)C(=O)NC(C)CC,CC1=Nc2cc(C(=O)NCCC)ccc2Sc2ccc(C)cc21,0.9263351749539596,0.6941643,0.9980608,0.4172078,1.0,1.0,0.77,0.71,352.503,1,"InChI=1S/C19H20N2OS/c1-4-9-20-19(22)14-6-8-18-16(11-14)21-13(3)15-10-12(2)5-7-17(15)23-18/h5-8,10-11H,4,9H2,1-3H3,(H,20,22)","InChI=1S/C21H24N2OS/c1-5-14(4)22-21(24)15-8-10-20-18(12-15)23-17(6-2)16-11-13(3)7-9-19(16)25-20/h7-12,14H,5-6H2,1-4H3,(H,22,24)"
MCULE-5830374764,https://mcule.com/MCULE-5830374764/,,N1C2C=C(C=CC=2SC2C=CC=CC=2C=1C)C(NCCC1C=CC=CC=1)=O,CC1=Nc2cc(C(=O)NCCC)ccc2Sc2ccc(C)cc21,0.9402697495183044,0.89366335,0.98767555,0.7730422,1.0,1.0,0.63,0.78,372.493,1,"InChI=1S/C19H20N2OS/c1-4-9-20-19(22)14-6-8-18-16(11-14)21-13(3)15-10-12(2)5-7-17(15)23-18/h5-8,10-11H,4,9H2,1-3H3,(H,20,22)","InChI=1S/C23H20N2OS/c1-16-19-9-5-6-10-21(19)27-22-12-11-18(15-20(22)25-16)23(26)24-14-13-17-7-3-2-4-8-17/h2-12,15H,13-14H2,1H3,(H,24,26)"
