id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,CAPAN_classifier,CFPAC_classifier,Custom_alerts,MW,raw_CAPAN_classifier,raw_CFPAC_classifier,raw_MW,valid,qryInchis,inchi_to_buy
ZINC000017013936,ZINC000017013936,2.0,Cc1cc(N2CCCC2)nc(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)n1,c1c(S(=O)(Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)=O)cccc1,0.4117647058823529,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,409.515,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)"
MCULE-2069345090,https://mcule.com/MCULE-2069345090/,,S(C1C=CC=CC=1)(=O)(=O)NC1C=CC(=CC=1)NC1=NC(C)=CC(N2CCCC2)=N1,c1c(S(=O)(Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)=O)cccc1,0.7606299212598425,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,409.515,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)"
ZINC000017013936,ZINC000017013936,2.0,Cc1cc(N2CCCC2)nc(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)n1,c1cc(S(=O)(=O)Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)ccc1,0.4117647058823529,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,409.515,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)"
MCULE-2069345090,https://mcule.com/MCULE-2069345090/,,S(C1C=CC=CC=1)(=O)(=O)NC1C=CC(=CC=1)NC1=NC(C)=CC(N2CCCC2)=N1,c1cc(S(=O)(=O)Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)ccc1,0.7606299212598425,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,409.515,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)"
ZINC000017013936,ZINC000017013936,2.0,Cc1cc(N2CCCC2)nc(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)n1,c1cc(S(=O)(Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)=O)ccc1,0.4117647058823529,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,409.515,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)"
MCULE-2069345090,https://mcule.com/MCULE-2069345090/,,S(C1C=CC=CC=1)(=O)(=O)NC1C=CC(=CC=1)NC1=NC(C)=CC(N2CCCC2)=N1,c1cc(S(=O)(Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)=O)ccc1,0.7606299212598425,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,409.515,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)"
MCULE-6316281907,https://mcule.com/MCULE-6316281907/,,S(=O)(=O)(C1C=CC(=CC=1)CC)NC1=CC=C(C=C1)NC1=NC(C)=CC(N2CCCC2)=N1,c1c(S(=O)(Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)=O)cccc1,0.7442922374429224,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,437.569,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C23H27N5O2S/c1-3-18-6-12-21(13-7-18)31(29,30)27-20-10-8-19(9-11-20)25-23-24-17(2)16-22(26-23)28-14-4-5-15-28/h6-13,16,27H,3-5,14-15H2,1-2H3,(H,24,25,26)"
MCULE-6316281907,https://mcule.com/MCULE-6316281907/,,S(=O)(=O)(C1C=CC(=CC=1)CC)NC1=CC=C(C=C1)NC1=NC(C)=CC(N2CCCC2)=N1,c1cc(S(=O)(=O)Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)ccc1,0.7442922374429224,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,437.569,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C23H27N5O2S/c1-3-18-6-12-21(13-7-18)31(29,30)27-20-10-8-19(9-11-20)25-23-24-17(2)16-22(26-23)28-14-4-5-15-28/h6-13,16,27H,3-5,14-15H2,1-2H3,(H,24,25,26)"
MCULE-6316281907,https://mcule.com/MCULE-6316281907/,,S(=O)(=O)(C1C=CC(=CC=1)CC)NC1=CC=C(C=C1)NC1=NC(C)=CC(N2CCCC2)=N1,c1cc(S(=O)(Nc2ccc(N=c3[nH]c(N4CCCC4)cc(C)n3)cc2)=O)ccc1,0.7442922374429224,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,437.569,1,"InChI=1S/C21H23N5O2S/c1-16-15-20(26-13-5-6-14-26)24-21(22-16)23-17-9-11-18(12-10-17)25-29(27,28)19-7-3-2-4-8-19/h2-4,7-12,15,25H,5-6,13-14H2,1H3,(H,22,23,24)","InChI=1S/C23H27N5O2S/c1-3-18-6-12-21(13-7-18)31(29,30)27-20-10-8-19(9-11-20)25-23-24-17(2)16-22(26-23)28-14-4-5-15-28/h6-13,16,27H,3-5,14-15H2,1-2H3,(H,24,25,26)"
ZINC000017013035,ZINC000017013035,0.0,Cc1cc(N2CCCC2)nc(Nc3ccc(NC(=O)CC4CCCC4)cc3)n1,Cc1cc(N2CCCC2)nc(Nc2ccc(NC(CC3CCCC3)=O)cc2)n1,1.0,0.99240017,0.98793066,0.99603474,1.0,1.0,1.0,0.0,379.508,1,"InChI=1S/C22H29N5O/c1-16-14-20(27-12-4-5-13-27)26-22(23-16)25-19-10-8-18(9-11-19)24-21(28)15-17-6-2-3-7-17/h8-11,14,17H,2-7,12-13,15H2,1H3,(H,24,28)(H,23,25,26)","InChI=1S/C22H29N5O/c1-16-14-20(27-12-4-5-13-27)26-22(23-16)25-19-10-8-18(9-11-19)24-21(28)15-17-6-2-3-7-17/h8-11,14,17H,2-7,12-13,15H2,1H3,(H,24,28)(H,23,25,26)"
