id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,HEK_classifier,BXPC3_classifier,Custom_alerts,MW,raw_HEK_classifier,raw_BXPC3_classifier,raw_MW,valid,qryInchis,inchi_to_buy
ZINC000585423186,ZINC000585423186,0.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NC(=O)C4CC4)cc3)n1,Cc1cc(N2CCOCC2)nc(Nc2ccc(NC(=O)C3CC3)cc2)n1,1.0,0.8520161,0.8664234,0.6961288,1.0,1.0,0.84,0.17,353.426,1,"InChI=1S/C19H23N5O2/c1-13-12-17(24-8-10-26-11-9-24)23-19(20-13)22-16-6-4-15(5-7-16)21-18(25)14-2-3-14/h4-7,12,14H,2-3,8-11H2,1H3,(H,21,25)(H,20,22,23)","InChI=1S/C19H23N5O2/c1-13-12-17(24-8-10-26-11-9-24)23-19(20-13)22-16-6-4-15(5-7-16)21-18(25)14-2-3-14/h4-7,12,14H,2-3,8-11H2,1H3,(H,21,25)(H,20,22,23)"
ZINC000585423186,ZINC000585423186,2.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NC(=O)C4CC4)cc3)n1,N(c1ccc(NC(=O)C2CC2)cc1)=c3[nH]c(N4CCOCC4)cc(C)n3,0.4202898550724637,0.8520161,0.8664234,0.6961288,1.0,1.0,0.84,0.17,353.426,1,"InChI=1S/C19H23N5O2/c1-13-12-17(24-8-10-26-11-9-24)23-19(20-13)22-16-6-4-15(5-7-16)21-18(25)14-2-3-14/h4-7,12,14H,2-3,8-11H2,1H3,(H,21,25)(H,20,22,23)","InChI=1S/C19H23N5O2/c1-13-12-17(24-8-10-26-11-9-24)23-19(20-13)22-16-6-4-15(5-7-16)21-18(25)14-2-3-14/h4-7,12,14H,2-3,8-11H2,1H3,(H,21,25)(H,20,22,23)"
ZINC000585421103,ZINC000585421103,1.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NC(=O)C4CCC4)cc3)n1,Cc1cc(N2CCOCC2)nc(Nc2ccc(NC(=O)C3CC3)cc2)n1,0.9183673469387756,0.89247054,0.8737104,0.8399507,1.0,1.0,0.85,0.14,367.453,1,"InChI=1S/C19H23N5O2/c1-13-12-17(24-8-10-26-11-9-24)23-19(20-13)22-16-6-4-15(5-7-16)21-18(25)14-2-3-14/h4-7,12,14H,2-3,8-11H2,1H3,(H,21,25)(H,20,22,23)","InChI=1S/C20H25N5O2/c1-14-13-18(25-9-11-27-12-10-25)24-20(21-14)23-17-7-5-16(6-8-17)22-19(26)15-3-2-4-15/h5-8,13,15H,2-4,9-12H2,1H3,(H,22,26)(H,21,23,24)"
ZINC000585421103,ZINC000585421103,3.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NC(=O)C4CCC4)cc3)n1,N(c1ccc(NC(=O)C2CC2)cc1)=c3[nH]c(N4CCOCC4)cc(C)n3,0.3888888888888889,0.89247054,0.8737104,0.8399507,1.0,1.0,0.85,0.14,367.453,1,"InChI=1S/C19H23N5O2/c1-13-12-17(24-8-10-26-11-9-24)23-19(20-13)22-16-6-4-15(5-7-16)21-18(25)14-2-3-14/h4-7,12,14H,2-3,8-11H2,1H3,(H,21,25)(H,20,22,23)","InChI=1S/C20H25N5O2/c1-14-13-18(25-9-11-27-12-10-25)24-20(21-14)23-17-7-5-16(6-8-17)22-19(26)15-3-2-4-15/h5-8,13,15H,2-4,9-12H2,1H3,(H,22,26)(H,21,23,24)"
MCULE-6767457754,https://mcule.com/MCULE-6767457754/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(C1CCCC1)=O)C)N1CCOCC1,Cc1cc(N2CCOCC2)nc(Nc2ccc(NC(=O)C3CC3)cc2)n1,0.927063339731286,0.9182123,0.9052126,0.8737104,1.0,1.0,0.9,0.13,381.48,1,"InChI=1S/C19H23N5O2/c1-13-12-17(24-8-10-26-11-9-24)23-19(20-13)22-16-6-4-15(5-7-16)21-18(25)14-2-3-14/h4-7,12,14H,2-3,8-11H2,1H3,(H,21,25)(H,20,22,23)","InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)"
ZINC000585423186,ZINC000585423186,1.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NC(=O)C4CC4)cc3)n1,Cc1cc(N2CCOCCC2)nc(Nc2ccc(NC(=O)C3CC3)cc2)n1,0.92,0.8520161,0.8664234,0.6961288,1.0,1.0,0.84,0.17,353.426,1,"InChI=1S/C20H25N5O2/c1-14-13-18(25-9-2-11-27-12-10-25)24-20(21-14)23-17-7-5-16(6-8-17)22-19(26)15-3-4-15/h5-8,13,15H,2-4,9-12H2,1H3,(H,22,26)(H,21,23,24)","InChI=1S/C19H23N5O2/c1-13-12-17(24-8-10-26-11-9-24)23-19(20-13)22-16-6-4-15(5-7-16)21-18(25)14-2-3-14/h4-7,12,14H,2-3,8-11H2,1H3,(H,21,25)(H,20,22,23)"
MCULE-6767457754,https://mcule.com/MCULE-6767457754/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(C1CCCC1)=O)C)N1CCOCC1,Cc1cc(N2CCOCCC2)nc(Nc2ccc(NC(=O)C3CC3)cc2)n1,0.8678899082568807,0.9182123,0.9052126,0.8737104,1.0,1.0,0.9,0.13,381.48,1,"InChI=1S/C20H25N5O2/c1-14-13-18(25-9-2-11-27-12-10-25)24-20(21-14)23-17-7-5-16(6-8-17)22-19(26)15-3-4-15/h5-8,13,15H,2-4,9-12H2,1H3,(H,22,26)(H,21,23,24)","InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)"
MCULE-8946938293,https://mcule.com/MCULE-8946938293/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(=O)C1C=CC(=CC=1)F)C)N1CCCCC1,c1(Nc2nc(N3CCCCC3)cc(C)n2)ccc(C(N2CCOCC2)=O)cc1,0.7631578947368421,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C21H27N5O2/c1-16-15-19(25-9-3-2-4-10-25)24-21(22-16)23-18-7-5-17(6-8-18)20(27)26-11-13-28-14-12-26/h5-8,15H,2-4,9-14H2,1H3,(H,22,23,24)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
MCULE-6767457754,https://mcule.com/MCULE-6767457754/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(C1CCCC1)=O)C)N1CCOCC1,c1cc(N=c2[nH]c(N3CCOCC3)cc(C)n2)ccc1NC(C1CCCCC1)=O,0.7364085667215815,0.9182123,0.9052126,0.8737104,1.0,1.0,0.9,0.13,381.48,1,"InChI=1S/C22H29N5O2/c1-16-15-20(27-11-13-29-14-12-27)26-22(23-16)25-19-9-7-18(8-10-19)24-21(28)17-5-3-2-4-6-17/h7-10,15,17H,2-6,11-14H2,1H3,(H,24,28)(H,23,25,26)","InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)"
ZINC000023993912,ZINC000023993912,3.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NC(=O)C4CCCC4)cc3)n1,c1cc(N=c2[nH]c(N3CCOCC3)cc(C)n2)ccc1NC(C4CCCCC4)=O,0.4305555555555556,0.9182123,0.9052126,0.8737104,1.0,1.0,0.9,0.13,381.48,1,"InChI=1S/C22H29N5O2/c1-16-15-20(27-11-13-29-14-12-27)26-22(23-16)25-19-9-7-18(8-10-19)24-21(28)17-5-3-2-4-6-17/h7-10,15,17H,2-6,11-14H2,1H3,(H,24,28)(H,23,25,26)","InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)"
