id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,HEK_classifier,CAPAN_classifier,Custom_alerts,MW,raw_HEK_classifier,raw_CAPAN_classifier,raw_MW,valid,qryInchis,inchi_to_buy
ZINC000023993912,ZINC000023993912,0.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NC(=O)C4CCCC4)cc3)n1,Cc1cc(N2CCOCC2)nc(Nc2ccc(NC(=O)C3CCCC3)cc2)n1,1.0,0.92455214,0.9052126,0.9011868,1.0,1.0,0.9,0.12,381.48,1,"InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)","InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)"
MCULE-6767457754,https://mcule.com/MCULE-6767457754/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(C1CCCC1)=O)C)N1CCOCC1,Cc1cc(N2CCOCC2)nc(Nc2ccc(NC(=O)C3CCCC3)cc2)n1,1.0,0.92455214,0.9052126,0.9011868,1.0,1.0,0.9,0.12,381.48,1,"InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)","InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)"
ZINC000033078157,ZINC000033078157,1.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NC(=O)C4CCCCC4)cc3)n1,Cc1cc(N2CCOCC2)nc(Nc2ccc(NC(=O)C3CCCC3)cc2)n1,0.979591836734694,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,395.507,1,"InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)","InChI=1S/C22H29N5O2/c1-16-15-20(27-11-13-29-14-12-27)26-22(23-16)25-19-9-7-18(8-10-19)24-21(28)17-5-3-2-4-6-17/h7-10,15,17H,2-6,11-14H2,1H3,(H,24,28)(H,23,25,26)"
MCULE-7419739310,https://mcule.com/MCULE-7419739310/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(C1CCCCC1)=O)C)N1CCOCC1,Cc1cc(N2CCOCC2)nc(Nc2ccc(NC(=O)C3CCCC3)cc2)n1,0.967984934086629,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,395.507,1,"InChI=1S/C21H27N5O2/c1-15-14-19(26-10-12-28-13-11-26)25-21(22-15)24-18-8-6-17(7-9-18)23-20(27)16-4-2-3-5-16/h6-9,14,16H,2-5,10-13H2,1H3,(H,23,27)(H,22,24,25)","InChI=1S/C22H29N5O2/c1-16-15-20(27-11-13-29-14-12-27)26-22(23-16)25-19-9-7-18(8-10-19)24-21(28)17-5-3-2-4-6-17/h7-10,15,17H,2-6,11-14H2,1H3,(H,24,28)(H,23,25,26)"
MCULE-8946938293,https://mcule.com/MCULE-8946938293/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(=O)C1C=CC(=CC=1)F)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(=O)c1ccccc1,0.7225913621262459,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
ZINC000017013341,ZINC000017013341,3.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccc(F)cc4)cc3)n1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(=O)c4ccccc4,0.3466666666666667,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
MCULE-8946938293,https://mcule.com/MCULE-8946938293/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(=O)C1C=CC(=CC=1)F)C)N1CCCCC1,c1cc(N=c2nc(C)cc(N3CCCCC3)[nH]2)ccc1NC(=O)c1ccccc1,0.7225913621262459,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
ZINC000017013341,ZINC000017013341,3.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccc(F)cc4)cc3)n1,c1cc(N=c2nc(C)cc(N3CCCCC3)[nH]2)ccc1NC(=O)c4ccccc4,0.3466666666666667,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
MCULE-8278623228,https://mcule.com/MCULE-8278623228/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(C1=CC=CC=C1)=O)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(=O)c1ccccc1,0.7444253859348199,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
ZINC000017013516,ZINC000017013516,2.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccccc4)cc3)n1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(=O)c4ccccc4,0.4264705882352941,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
