id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,HEK_classifier,CFPAC_classifier,Custom_alerts,MW,raw_HEK_classifier,raw_CFPAC_classifier,raw_MW,valid,qryInchis,inchi_to_buy
Z1883550099,Z1883550099,4.0,C1=CN=C(NC2=CC=C(NC3=NC=NC4=CC=CC=C34)C=C2)N=C1,N(c1ccc(N=c2[nH]cnc3ccccc32)cc1)=c4[nH]cccn4,0.0967741935483871,0.87715477,0.83366245,0.8737104,1.0,1.0,0.8,0.13,314.352,1,"InChI=1S/C18H14N6/c1-2-5-16-15(4-1)17(22-12-21-16)23-13-6-8-14(9-7-13)24-18-19-10-3-11-20-18/h1-12H,(H,19,20,24)(H,21,22,23)","InChI=1S/C18H14N6/c1-2-5-16-15(4-1)17(22-12-21-16)23-13-6-8-14(9-7-13)24-18-19-10-3-11-20-18/h1-12H,(H,19,20,24)(H,21,22,23)"
ZINC000565460397,ZINC000565460397,4.0,c1cnc(Nc2ccc(Nc3ncnc4ccccc34)cc2)nc1,N(c1ccc(N=c2[nH]cnc3ccccc32)cc1)=c4[nH]cccn4,0.0967741935483871,0.87715477,0.83366245,0.8737104,1.0,1.0,0.8,0.13,314.352,1,"InChI=1S/C18H14N6/c1-2-5-16-15(4-1)17(22-12-21-16)23-13-6-8-14(9-7-13)24-18-19-10-3-11-20-18/h1-12H,(H,19,20,24)(H,21,22,23)","InChI=1S/C18H14N6/c1-2-5-16-15(4-1)17(22-12-21-16)23-13-6-8-14(9-7-13)24-18-19-10-3-11-20-18/h1-12H,(H,19,20,24)(H,21,22,23)"
Z397858992,Z397858992,5.0,COCCOC1=CC=C(NC2=NC=NC3=CC=CC=C23)C=C1,N(c1ccc(N=c2nc[nH]c3c2cccc3)cc1)CC4CC4,0.1267605633802817,0.8019445,0.8424116,0.56864136,1.0,1.0,0.81,0.19,295.342,1,"InChI=1S/C18H18N4/c1-2-4-17-16(3-1)18(21-12-20-17)22-15-9-7-14(8-10-15)19-11-13-5-6-13/h1-4,7-10,12-13,19H,5-6,11H2,(H,20,21,22)","InChI=1S/C17H17N3O2/c1-21-10-11-22-14-8-6-13(7-9-14)20-17-15-4-2-3-5-16(15)18-12-19-17/h2-9,12H,10-11H2,1H3,(H,18,19,20)"
ZINC001655055206,ZINC001655055206,4.0,CC(C)CCc1ccc(Nc2ncnc3ccccc23)cc1,N(c1ccc(N=c2[nH]cnc3c2cccc3)cc1)CC4CC4,0.1791044776119403,0.8019445,0.8424116,0.56864136,1.0,1.0,0.81,0.19,291.398,1,"InChI=1S/C18H18N4/c1-2-4-17-16(3-1)18(21-12-20-17)22-15-9-7-14(8-10-15)19-11-13-5-6-13/h1-4,7-10,12-13,19H,5-6,11H2,(H,20,21,22)","InChI=1S/C19H21N3/c1-14(2)7-8-15-9-11-16(12-10-15)22-19-17-5-3-4-6-18(17)20-13-21-19/h3-6,9-14H,7-8H2,1-2H3,(H,20,21,22)"
ZINC001655055206,ZINC001655055206,4.0,CC(C)CCc1ccc(Nc2ncnc3ccccc23)cc1,N(c1ccc(N=c2nc[nH]c3c2cccc3)cc1)CC4CC4,0.1791044776119403,0.8019445,0.8424116,0.56864136,1.0,1.0,0.81,0.19,291.398,1,"InChI=1S/C18H18N4/c1-2-4-17-16(3-1)18(21-12-20-17)22-15-9-7-14(8-10-15)19-11-13-5-6-13/h1-4,7-10,12-13,19H,5-6,11H2,(H,20,21,22)","InChI=1S/C19H21N3/c1-14(2)7-8-15-9-11-16(12-10-15)22-19-17-5-3-4-6-18(17)20-13-21-19/h3-6,9-14H,7-8H2,1-2H3,(H,20,21,22)"
ZINC000261433831,ZINC000261433831,5.0,O=C(Nc1ccc(Nc2ncnc3ccc(Br)cc23)cc1)C4CC4,N(c1ccc(N=c2nc[nH]c3ccc(C)cc32)cc1)CC4CC4,0.1392405063291139,0.90232813,0.8664234,0.9011868,1.0,1.0,0.84,0.12,383.249,1,"InChI=1S/C19H20N4/c1-13-2-9-18-17(10-13)19(22-12-21-18)23-16-7-5-15(6-8-16)20-11-14-3-4-14/h2,5-10,12,14,20H,3-4,11H2,1H3,(H,21,22,23)","InChI=1S/C18H15BrN4O/c19-12-3-8-16-15(9-12)17(21-10-20-16)22-13-4-6-14(7-5-13)23-18(24)11-1-2-11/h3-11H,1-2H2,(H,23,24)(H,20,21,22)"
Z1576602625,Z1576602625,5.0,COCCOC1=CC=C(NC2=NC=NC3=CC=C(C)C=C23)C=C1,N(c1ccc(N=c2nc[nH]c3ccc(C)cc32)cc1)CC4CC4,0.1866666666666666,0.89174235,0.85878396,0.8737104,1.0,1.0,0.83,0.13,309.369,1,"InChI=1S/C19H20N4/c1-13-2-9-18-17(10-13)19(22-12-21-18)23-16-7-5-15(6-8-16)20-11-14-3-4-14/h2,5-10,12,14,20H,3-4,11H2,1H3,(H,21,22,23)","InChI=1S/C18H19N3O2/c1-13-3-8-17-16(11-13)18(20-12-19-17)21-14-4-6-15(7-5-14)23-10-9-22-2/h3-8,11-12H,9-10H2,1-2H3,(H,19,20,21)"
PV-006774325646,PV-006774325646,5.0,CC1=CC=C2N=CN=C(NC3=CC=C(CCCCO)C=C3)C2=C1,N(c1ccc(N=c2nc[nH]c3ccc(C)cc32)cc1)CC4CC4,0.1866666666666666,0.8008044,0.8402571,0.56864136,1.0,1.0,0.80749667,0.19,307.397,1,"InChI=1S/C19H20N4/c1-13-2-9-18-17(10-13)19(22-12-21-18)23-16-7-5-15(6-8-16)20-11-14-3-4-14/h2,5-10,12,14,20H,3-4,11H2,1H3,(H,21,22,23)","InChI=1S/C19H21N3O/c1-14-5-10-18-17(12-14)19(21-13-20-18)22-16-8-6-15(7-9-16)4-2-3-11-23/h5-10,12-13,23H,2-4,11H2,1H3,(H,20,21,22)"
ZINC001162361714,ZINC001162361714,3.0,c1ccc2c(Nc3ccc(NCC4CCCC4)cc3)ncnc2c1,N(c1ccc(N=c2[nH]cnc3ccccc23)cc1)CC4CCC4,0.3157894736842105,0.81056625,0.85878396,0.56864136,1.0,1.0,0.83,0.19,318.424,1,"InChI=1S/C19H20N4/c1-2-7-18-17(6-1)19(22-13-21-18)23-16-10-8-15(9-11-16)20-12-14-4-3-5-14/h1-2,6-11,13-14,20H,3-5,12H2,(H,21,22,23)","InChI=1S/C20H22N4/c1-2-6-15(5-1)13-21-16-9-11-17(12-10-16)24-20-18-7-3-4-8-19(18)22-14-23-20/h3-4,7-12,14-15,21H,1-2,5-6,13H2,(H,22,23,24)"
ZINC000243339030,ZINC000243339030,4.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(N4CCCCC4)cc3)n1,c1c(N2CCOCC2)ccc(N=c3[nH]c(N4CCOCC4)cc(C)n3)c1,0.21875,0.8753386,0.8424116,0.8432988,1.0,1.0,0.81,0.13909091,351.498,1,"InChI=1S/C19H25N5O2/c1-15-14-18(24-8-12-26-13-9-24)22-19(20-15)21-16-2-4-17(5-3-16)23-6-10-25-11-7-23/h2-5,14H,6-13H2,1H3,(H,20,21,22)","InChI=1S/C21H29N5/c1-17-16-20(26-14-6-3-7-15-26)24-21(22-17)23-18-8-10-19(11-9-18)25-12-4-2-5-13-25/h8-11,16H,2-7,12-15H2,1H3,(H,22,23,24)"
