ID,Supplier,Supplier Ref,SMILES,CLNUMBER
IRB-0000001,ChemDiv,3909-8560,CCN(CC)C(=O)CN1C=Nc2sc(c(c2C1=O)C)C(=O)NCCCOC,CL1572
IRB-0000002,ChemDiv,6557-0199,Cc1nnc(c2c(n(c(c12)C)-c1nc(c(s1)C)-c1cccs1)C)C,CL2941
IRB-0000003,ChemDiv,3909-9330,CC1CCCCN1C(=O)CN1C=Nc2sc(c(c2C1=O)C)C(=O)O,CL0774
IRB-0000004,ChemDiv,6557-0202,COc1ccc(cc1)-c1nc(sc1C)-n1c(c2c(nnc(c2c1C)C)C)C,CL2941
IRB-0000005,ChemDiv,3910-0329,Cc1cc2ncn(c2cc1C)CC(O)COc1ccc(cc1)Cl,CL2894
IRB-0000006,ChemDiv,6560-0355,OCCCc1nc2ccccc2n1CCCOc1ccc(cc1)Cl,CL5561B
IRB-0000007,ChemDiv,3931-1998,Cc1ccc2nc3c(c(c2c1)Nc1ccccc1)CCC3,CL3010
IRB-0000008,ChemDiv,6577-0575,CC1=CC(=O)NC(=N1)SCC(=O)O,CL0015
IRB-0000009,ChemDiv,3948-0172,Cc1ccc(c(c1)OCCSc1nc2ccccc2[nH]1)C,CL1122
IRB-0000010,ChemDiv,6603-0052,CC(C)c1ccc(cc1OCCN1C(=O)C(=O)c2cc(ccc21)C)C,CL1270
IRB-0000011,ChemDiv,3952-0948,CC(=O)Oc1ccc(cc1)C1=Nc2ccc(cc2C(=O)O1)Cl,CL1080
IRB-0000012,ChemDiv,6603-0060,CC(C)c1ccc(cc1OCCCN1C(=O)C(=O)c2cc(ccc21)C)C,CL1270
IRB-0000013,ChemDiv,3966-1193,CCOC(=O)CSc1nc(c2c(c1C#N)CCCC2)N1CCOCC1,CL1966
IRB-0000014,ChemDiv,6612-0273,OC1CCN(CC1)c1cccc2c1C(=O)c1ccccc1C2=O,CL0699
