,P31946,P62258,P63104,Q12888,P10398,Q13085,P68363,P37023,P55265,Q13131,P04083,P20073,P10275,P08243,Q13315,P15056,Q92934,Q16611,Q92560,Q07812,P10415,Q07817,Q14457,P60709,P55957,P51587,P05412,P10721,P08581,P01106,P55210,Q14790,Q03135,P11836,P16284,P17301,P06493,O96017,Q13490,O95471,P12109,P14635,P24385,P24864,O96020,O95661,Q99497,Q92997,P12830,P13639,O00418,P06730,Q04637,P07992,P28482,P14921,P49327,P02751,Q08050,P15407,P11413,Q9UQC2,P04406,P23771,P49841,P04626,P21860,Q02297,P0DMV8,P18065,O15327,P35568,O60674,P45983,P45984,P13010,P06239,Q00987,O15151,Q9UJM3,P49959,P43246,P52701,P42345,P35749,P35579,P19022,P01111,Q92597,P19838,P35240,P46531,P22223,P38936,P04637,Q13501,P05121,P09874,P49023,P12004,Q53EL6,P42336,P27986,P17252,Q05655,P05771,P21796,P06401,Q96B36,Q06830,Q8TCU6,P60484,P57735,Q92878,Q06609,Q8N122,P06400,Q96T37,Q6R327,O00767,Q9BYW2,Q07955,P29353,Q06124,Q9NR28,Q15797,P84022,Q13485,O95863,P40763,P42229,P16949,P43405,Q9GZV5,P02786,Q9NQ88,P21980,Q92574,Q15361,P15498,P35968,P40337,P17861,P18887
ACH-000698,-0.104888,0.060414,0.309068,0.455889,0.090484,0.145489,-0.031463,-0.196488,-0.349397,-0.468927,-1.611952,0.239982,-0.126304,0.502838,-0.593674,0.370976,0.272832,0.205383,-0.436565,-0.226032,2.636579,0.201034,0.042916,-0.851057,0.116468,-0.071735,0.026889,1.381241,-0.094405,0.114065,0.093289,0.562666,-2.96179,0.114758,-0.13314,-0.625556,0.052289,-0.25625,0.084673,2.708904,-0.15716,-0.002298,0.142297,-0.458428,0.025676,-0.113073,0.265003,-0.256604,1.780366,0.843486,-0.365076,0.040234,0.912632,0.260007,-0.446241,0.248133,0.469526,-1.265889,1.069198,0.198488,0.139461,1.911982,1.342532,0.185329,-0.788889,-0.083277,0.355623,-0.166126,0.127093,2.706219,0.454681,-0.321282,-0.35307,0.438389,0.338411,-0.186444,-0.200744,2.016764,-0.301583,0.142497,-0.118714,0.072351,0.494963,0.702895,-1.12583,-5.016886,-0.128209,-0.182735,0.726914,0.468214,-0.717358,-0.632885,-0.060258,-0.474737,1.549333,-0.167909,-0.966387,0.569257,-0.376142,-0.273244,-0.32526,-0.438255,-0.369577,0.180337,-0.204519,0.600104,-0.342539,-0.072513,-0.073714,-0.330872,-0.512732,0.242441,0.84412,0.261147,0.207637,0.481513,0.402825,0.022017,0.313788,0.095334,0.235243,-0.016152,-0.23377,-0.356549,0.268973,0.277799,-0.378008,0.088427,1.568061,-0.160406,1.146658,-0.196885,1.980112,-0.20265,-0.93667,1.288006,-0.132893,-0.489314,0.994481,-0.486715,-1.147858,0.133876,-0.075812,-0.144388
ACH-000489,0.358504,-0.180291,-0.041237,-0.011197,0.60533,-0.647232,-0.249251,0.008474,0.092622,-0.199317,-0.361925,0.480599,-0.044362,-2.150912,-1.124112,-0.976246,-0.030858,-0.027358,0.301326,-0.601191,-0.28264,1.534968,-0.017236,1.636039,0.599298,0.361911,-0.010777,-0.060426,0.137465,0.067394,0.095861,-0.072293,-0.052108,0.299623,0.197303,1.753064,3.303001,-0.275105,0.18092,4.213855,0.302427,-0.236994,0.700233,-0.481753,-0.045647,0.319398,-0.58167,0.080987,4.21652,-0.558678,-0.622251,-0.114911,-0.939518,0.407926,0.303894,1.066449,-0.92653,-0.815832,-0.158609,0.999808,0.249971,-1.497921,-1.283992,0.706827,-0.961476,1.431514,1.209975,0.087424,0.12449,1.094722,0.252787,0.127038,-0.59858,0.729036,-0.009551,-0.303013,0.964056,-0.259064,0.370216,-0.012097,0.14645,-0.778767,-0.375581,-0.786108,0.270964,-0.507858,0.582913,0.106526,-0.647119,-0.50869,-0.135333,0.721736,1.622911,-0.422545,1.477963,0.93131,0.10667,-0.247853,0.088446,-0.093906,-0.195839,-0.521029,-0.201566,-0.047525,-0.121136,-0.733114,3.173701,0.39211,-0.500034,0.028723,-0.066824,-0.695811,2.212316,0.763502,-0.177323,-0.559049,-1.138529,0.166174,-0.403179,1.177327,0.445716,-0.080778,0.290495,0.121958,1.807401,-0.139075,0.359521,-0.091912,0.186176,0.654204,-0.148647,-0.230546,1.500098,0.191806,1.793798,3.00223,0.395459,0.318003,0.860255,0.34933,0.770148,0.984297,-0.168138,-0.004905
ACH-000431,0.028738,0.071902,-0.094847,0.195007,0.036221,0.731379,-0.304954,-0.013517,0.414536,0.787018,-1.602346,-0.406811,0.219042,0.783651,-1.048509,1.175645,0.047237,0.444956,0.186798,0.293466,1.033206,-0.333985,0.028116,0.870009,0.012572,-0.20582,-0.131795,1.410708,0.170321,-1.137268,-0.384525,-0.508975,-2.862493,-0.014462,0.232051,-0.782498,0.026212,-0.111547,-0.455527,-0.354176,-0.264982,0.021505,-0.201955,0.110585,0.327809,0.045668,-0.162361,0.265106,-0.281187,-0.133871,0.208282,0.013023,-0.357853,-0.038182,-0.149436,-0.285262,0.467055,-1.35579,1.29613,-0.690513,-0.854743,0.900078,0.73704,0.720773,0.564416,-0.991479,-0.534146,0.045941,0.013599,1.148724,0.207097,0.568001,0.12588,-0.106144,-0.217805,0.596351,-1.104449,-0.238213,0.043086,-0.239102,0.076875,0.552753,0.800236,0.493062,-0.02176,-1.410444,0.004172,-0.080933,-0.202671,-0.873168,-0.05147,0.610422,0.192526,-0.393758,-0.288732,-1.705674,-1.221486,0.469431,-0.737279,0.14857,0.540187,0.228956,0.239294,-0.965084,-0.347257,-0.653677,-0.298014,0.183857,0.635181,-0.501281,1.090789,0.360386,-0.162099,-0.268556,0.253737,0.4086,-0.283004,0.352917,0.669256,-0.417839,0.040034,0.13314,-0.566624,-0.598181,-0.383019,0.364415,-0.241424,0.23129,0.526728,-0.259096,-0.638769,1.346342,2.081823,-0.552199,-1.047099,-0.111427,-0.297608,1.084004,-0.22528,-0.478189,-1.18553,1.273013,-0.240413,0.476633
ACH-000707,0.120039,-0.066802,-0.128007,-0.066122,-0.346564,0.148369,-0.947104,0.07956,-0.269756,0.169959,-2.132638,-0.213473,-0.152951,0.812937,0.404837,0.339377,-0.283795,0.313555,0.129396,0.000475,-0.44469,-0.055192,0.177352,-0.140614,0.055424,-0.135228,-0.395005,0.023656,0.172179,1.036026,-0.541089,-0.083632,-3.779364,1.141914,-0.23537,-0.970267,-0.078392,0.426199,0.245028,0.123637,0.095896,0.750065,0.489594,-0.466246,0.249891,-0.044596,0.295334,-0.240812,-1.359251,1.281275,0.655566,0.204055,0.367812,0.031728,-0.026435,0.712837,-0.182374,-0.562043,0.029412,-0.426044,-0.345746,-1.947768,1.284081,-0.907242,-0.24927,-0.993299,-0.889806,-0.038815,0.031605,-0.238913,-0.317888,-0.151929,-0.068085,0.650864,0.019882,0.243295,2.175268,0.081548,1.664017,-0.187456,0.010611,0.560419,0.683503,-0.205835,0.110876,-0.661442,-0.023689,-0.279985,-1.163018,-1.116885,-0.105604,-0.505341,-0.341177,-0.523749,-0.206416,-0.70425,-0.764952,0.438062,-1.55523,0.447746,0.923002,-0.137908,0.561738,-0.40466,0.326003,0.914814,-0.14578,0.428871,0.241372,0.14077,0.137703,-2.605445,-0.386498,0.270357,0.613329,0.148595,0.841886,-0.130401,-0.262666,0.186525,9e-05,0.295604,-0.34088,0.450204,-0.076516,0.3434,0.293604,-0.057232,-0.234213,-0.21293,-0.784416,0.399243,5.285796,-0.386005,-1.17872,0.006238,-0.395748,-0.01313,0.698834,5.92383,-3.893832,-2.499188,0.632758,0.025639
ACH-000509,-0.268997,-0.060281,-0.137881,-0.573022,-0.162968,-0.245375,0.495423,-0.277691,0.307272,-0.539644,-0.882534,0.289604,-0.332208,0.410749,0.171905,0.364696,0.180617,-0.152416,0.399812,0.078653,0.57821,0.003209,0.205733,-1.754644,-0.320135,0.03932,0.656002,-0.296228,-0.001437,1.320054,3.649359,0.388001,-2.90427,-0.57619,0.049906,-1.131723,-0.183964,-0.012745,0.784527,-0.610463,0.262841,0.684525,-0.113512,0.680296,0.135913,0.160448,0.34712,-0.344312,-1.145793,0.193368,1.157307,0.491686,0.546672,-0.325266,0.154611,0.701127,-0.139181,0.879069,0.518178,-0.478907,-0.429794,0.390062,-1.356087,2.228587,0.1092,-2.105246,-0.25906,-0.306015,-0.01885,0.32021,-0.00926,-0.61496,-0.249626,0.529023,-0.092213,-0.11845,2.703253,-0.509447,-0.514167,-0.24566,0.058161,0.79353,0.420582,-0.063389,0.355095,-0.674869,-0.738629,0.24581,-0.426199,0.567044,-0.015267,0.417788,-0.56325,0.002783,-0.463369,0.077367,3.356253,-0.18258,-0.247934,0.531337,-0.239361,0.505479,1.665425,0.115225,0.028899,0.335607,0.044997,-0.01805,0.155407,0.155748,0.936101,0.599161,0.060479,0.264602,0.355944,0.08369,-2.299291,-0.058465,0.144214,-0.257789,0.0,-0.115289,-0.45679,0.447328,-0.126634,-0.438963,0.161393,-0.002643,0.322236,1.358316,2.346707,0.657147,-1.736436,-0.099573,0.857329,0.01363,-0.331983,-0.342393,-0.260483,5.47588,-0.561973,-0.500953,-0.261494,0.358679
ACH-000522,-0.17117,0.055813,-0.047719,0.441926,-0.242615,0.037885,-0.0064,-0.001145,0.404067,0.719108,0.280361,0.316584,0.510898,1.80811,0.896124,0.650297,-0.242702,-0.004858,-0.300896,0.189818,0.670158,0.128932,-0.006001,-0.993305,0.027612,-0.163185,0.947226,0.141447,-0.073659,0.189288,-0.337265,0.126861,2.702717,0.040124,0.028346,0.404037,-0.186756,-0.38072,0.023576,-0.195016,-0.070439,-0.806593,0.092809,0.381921,0.622827,-0.045967,0.098731,-0.187253,-1.099056,0.081638,-0.238671,-0.452592,0.102826,0.044086,-0.389783,0.426947,-0.889116,-0.466886,0.039785,1.269334,1.143142,0.064849,1.028861,-0.229838,-0.215161,-0.26534,-0.509603,0.117635,-0.131682,-0.491699,0.11702,0.39273,0.467419,0.060886,0.379932,-0.045964,-0.7597,0.237411,-0.174735,0.708842,0.042865,-0.478697,-0.244432,-0.153231,-0.046114,0.083982,0.078497,-0.123291,0.461581,0.236353,0.447513,-0.427018,-0.336612,-0.29213,0.996677,0.586572,3.301304,-0.342109,0.289081,-0.129149,0.189718,0.12542,-0.40944,1.552845,0.310031,0.17051,1.862418,-0.059789,0.016645,0.16658,0.292249,-2.783946,-0.139636,0.825708,-0.490196,0.012261,0.249232,0.209818,-0.138341,-0.100802,0.128531,-0.004505,-0.163627,-0.057942,0.424664,-0.083381,0.189179,-0.008099,-0.120139,-0.441382,-0.875397,-0.00681,-1.915529,0.672801,0.767054,-0.208128,1.172492,-0.39584,0.38562,-0.001333,-0.606062,-2.131417,0.216574,-0.151216
ACH-000613,-0.025261,0.008353,-0.405811,0.603378,-0.175658,-0.028906,-0.243348,0.04262,-0.62882,0.147121,0.36575,-0.292024,0.978412,0.007714,-0.369686,-0.782445,0.114997,0.138353,0.193891,-0.420041,-0.248535,-0.386908,-0.074834,-0.149776,-0.070929,0.013295,0.354229,0.336221,0.113893,0.809003,0.029147,0.096438,4.073515,0.052024,0.075779,-0.586709,-0.053892,-0.270509,0.152474,-0.506022,0.063792,-0.322652,-0.123693,-0.886896,-0.320047,0.096372,-0.147134,0.404833,-1.181919,-0.119911,-0.229803,-0.043747,0.017918,-0.068783,-0.006002,-0.087053,-0.523681,1.878549,-0.247868,0.038595,-0.517241,1.23745,-0.466093,-0.295594,-0.101929,-0.381457,-0.184236,0.627596,-0.119911,1.448598,0.141093,0.367454,0.039427,0.404543,0.072678,0.489461,-0.111322,-0.198856,-0.154372,-0.020558,0.098065,0.386338,0.562824,0.214111,0.378586,1.322942,-0.065716,0.00281,-0.19671,0.150384,0.133043,-0.060566,-0.388166,1.696259,1.292136,-0.97223,0.615749,-0.03258,1.72472,0.204904,1.049749,0.070101,-0.228766,0.788765,0.109182,0.443371,-0.569792,-0.081362,-0.069613,-0.148387,0.27874,0.272602,-0.368181,-0.130762,-0.021173,-0.108625,0.050953,0.315446,0.070972,-0.1845,0.081763,-0.04658,-0.083282,0.033626,-0.218766,0.020416,0.04841,0.075772,0.053137,-0.557274,-0.029845,-0.033594,0.465621,-0.016894,-0.171212,-0.123292,-0.296303,-0.055789,-0.255806,-0.109595,0.230045,1.281221,0.051103,0.045099
ACH-000829,-0.169773,-0.163311,-0.49113,-0.105651,-0.12019,-0.479745,-0.030744,0.083592,0.377402,-0.012897,-1.12007,0.158413,-0.088755,0.389361,-0.540984,-0.326838,-0.296683,0.166036,0.017365,0.786012,1.490305,-0.277056,0.238715,1.161453,-0.06566,-0.08485,0.15623,-0.048294,0.097396,0.274203,0.912859,0.226885,-3.636084,1.189317,0.113638,-0.797505,0.078166,-0.344015,0.066063,-0.290941,-0.324416,0.081581,-0.037167,0.324093,0.005548,0.16982,0.30623,-0.339423,-0.897883,0.305747,0.16742,0.302872,0.093071,-0.136179,-0.522609,0.071555,-0.087526,-0.093447,0.034852,-0.862291,-0.88702,0.327653,-0.409644,-0.086983,0.201627,-1.758102,-0.586297,-0.166637,0.042517,-0.198738,0.066041,-0.368079,0.9544,0.242597,-0.084434,-0.031571,0.164906,-0.199597,0.478782,-0.156859,0.079157,0.469241,-0.042903,-0.438904,-0.101997,-1.523922,-0.327823,0.173897,-1.209784,-0.315984,-0.19995,0.407107,-0.237417,-0.498366,-0.084522,-0.68033,0.268104,0.09498,-2.275639,0.397983,0.864748,-0.064232,0.605225,-1.111417,0.057965,-0.217571,-0.124243,0.107715,-0.167759,0.165825,0.182995,0.500931,-0.086232,0.001596,0.193638,-0.153655,0.08136,0.151406,-0.200059,-0.192246,0.121825,0.422952,-0.390399,0.369708,-0.129823,-0.294616,-0.14781,0.007849,-0.09138,1.920695,3.218001,0.177844,1.529416,-0.366424,-0.228075,0.134936,-0.458169,-0.456078,-0.048817,4.534564,-0.418367,-1.844704,0.365791,0.284529
ACH-000557,0.081936,-0.170779,-0.159528,-0.55683,0.228437,0.964608,-1.100308,-0.014381,0.250163,0.595655,0.177221,0.297847,0.107067,-0.358689,0.957565,0.187895,0.023933,-0.154873,0.304299,0.185489,2.057921,-0.529924,0.509095,-0.273803,-0.045454,-0.264443,-0.066771,-0.234019,-0.129313,0.184598,0.095799,0.436793,-2.937051,-0.236688,0.448847,-0.744087,0.677059,0.468296,-0.304547,-0.015373,-0.226479,-0.67422,-0.180524,0.253489,0.183985,0.047561,0.338689,-0.24202,-0.602418,-0.216838,0.207612,0.271636,0.594436,-0.082606,0.041134,-0.470633,0.873516,-1.53151,0.32137,-0.309363,-0.265473,0.792603,0.598009,0.106322,0.35823,-1.164698,-0.552581,-0.214321,-0.394852,1.183042,0.211987,-0.126707,0.007879,-0.28928,-0.04625,-0.265206,0.7066,-0.91063,-0.016867,-0.175165,0.111843,0.060707,0.22281,0.327142,-0.636156,0.332457,-0.667013,-0.00323,-0.366337,-0.141889,-0.307154,-0.459289,-0.047687,0.496429,-0.606996,0.386044,-0.439666,0.207581,-0.949646,0.020487,0.951432,0.70389,1.639695,1.019177,0.687908,1.361535,-0.269386,0.157566,-0.5132,-0.708478,1.28031,1.716487,0.06357,0.084436,0.34691,0.508986,0.872288,-0.13959,-0.206736,-0.079269,-0.147408,0.319389,-0.313591,0.123155,-0.365623,0.211253,-0.38022,0.109687,-0.208285,0.032755,3.23106,0.177926,4.406337,-0.447603,-0.404203,-0.539768,-0.324185,-0.137956,-0.664435,5.852804,-1.382396,-1.312213,-0.468378,0.381146
ACH-000614,0.221993,0.139321,0.387429,-1.00402,-0.064614,0.685739,0.043752,0.255932,-0.293025,-0.328037,0.025796,-0.476792,0.27635,1.857944,1.635058,0.279878,-0.286903,0.095434,0.081622,0.585124,0.815637,-0.330962,0.405461,-0.629649,-0.232647,-0.291821,-0.536118,0.191978,-0.026344,-0.275106,-0.513716,0.444817,0.564343,-0.014345,0.052227,-0.560354,0.724208,-0.322282,0.744584,-0.617153,-0.396049,-0.585483,-0.03541,0.474261,-0.180641,0.011286,0.039862,0.032241,-1.04246,0.453495,0.545462,0.069933,0.389126,0.137399,0.614212,-0.197165,0.90806,1.003094,-0.278657,0.818575,0.02176,2.9281,-0.221615,-0.531828,0.679464,-0.099389,0.756755,-0.144643,0.231931,0.262255,0.223177,-0.49605,0.880588,-0.390775,0.148928,0.129921,-0.681843,0.194318,-0.278732,-0.364168,0.048609,-0.069421,-0.31288,0.616009,0.029446,-0.031703,-0.048648,0.013086,0.388204,-0.33269,0.286599,-0.203635,-0.596011,1.443478,-0.356193,0.050557,-0.673263,-0.108548,0.233776,-0.56399,0.12842,0.010021,0.486924,-0.780132,-0.039036,0.225431,-1.920685,-0.054812,-0.183564,-0.238727,0.240093,-2.582018,0.022189,0.076348,-0.345302,0.384733,-0.630969,-0.610215,-0.051762,-0.098984,-0.189755,0.02953,-0.323827,-0.736169,-0.337961,-0.33678,-0.362918,-0.157447,-0.142781,-0.516916,1.309326,-0.225331,-1.726333,0.020537,-0.302235,0.542102,-0.401617,0.464916,-0.097643,0.051763,0.0,-1.952111,0.394469,-0.282555
