"PLATE_NUMBER","PLATE_NAME","DISPLAY_NAME","CONC","CONC_UNIT","LAYER","RESULT",
1,"BXPC3","4456-3685",40,"uM","% Inhibition Avg",94.505,
1,"BXPC3","4456-3685",20,"uM","% Inhibition Avg",47.935,
1,"BXPC3","4456-3685",10,"uM","% Inhibition Avg",8.012,
1,"BXPC3","4456-3685",3.33,"uM","% Inhibition Avg",-7.3891,
1,"BXPC3","4456-3685",1,"uM","% Inhibition Avg",-13.562,
1,"BXPC3","4456-3685",0.333,"uM","% Inhibition Avg",-11.769,
1,"BXPC3","4456-3685",0.01667,"uM","% Inhibition Avg",-9.6962,
1,"BXPC3","4456-3685",40,"uM","% Inhibition Avg",95.037,
1,"BXPC3","4456-3685",20,"uM","% Inhibition Avg",35.546,
1,"BXPC3","4456-3685",10,"uM","% Inhibition Avg",3.0181,
1,"BXPC3","4456-3685",3.33,"uM","% Inhibition Avg",-5.1805,
1,"BXPC3","4456-3685",1,"uM","% Inhibition Avg",-2.6296,
1,"BXPC3","4456-3685",0.333,"uM","% Inhibition Avg",-11.689,
1,"BXPC3","4456-3685",0.01667,"uM","% Inhibition Avg",-6.4254,
3,"CAPAN2","4456-3685",40,"uM","% Inhibition Avg",100.69,
3,"CAPAN2","4456-3685",20,"uM","% Inhibition Avg",100.29,
3,"CAPAN2","4456-3685",10,"uM","% Inhibition Avg",91.94,
3,"CAPAN2","4456-3685",3.33,"uM","% Inhibition Avg",6.56,
3,"CAPAN2","4456-3685",1,"uM","% Inhibition Avg",-4.3476,
3,"CAPAN2","4456-3685",0.333,"uM","% Inhibition Avg",-6.0345,
3,"CAPAN2","4456-3685",0.01667,"uM","% Inhibition Avg",1.5091,
3,"CAPAN2","4456-3685",40,"uM","% Inhibition Avg",100.07,
3,"CAPAN2","4456-3685",20,"uM","% Inhibition Avg",100.13,
3,"CAPAN2","4456-3685",10,"uM","% Inhibition Avg",81.826,
3,"CAPAN2","4456-3685",3.33,"uM","% Inhibition Avg",7.7461,
3,"CAPAN2","4456-3685",1,"uM","% Inhibition Avg",2.0714,
3,"CAPAN2","4456-3685",0.333,"uM","% Inhibition Avg",-3.0005,
3,"CAPAN2","4456-3685",0.01667,"uM","% Inhibition Avg",-0.06101,
5,"CFPAC","4456-3685",40,"uM","% Inhibition Avg",93.698,
5,"CFPAC","4456-3685",20,"uM","% Inhibition Avg",58.906,
5,"CFPAC","4456-3685",10,"uM","% Inhibition Avg",17.523,
5,"CFPAC","4456-3685",3.33,"uM","% Inhibition Avg",-7.8204,
5,"CFPAC","4456-3685",1,"uM","% Inhibition Avg",-2.8154,
5,"CFPAC","4456-3685",0.333,"uM","% Inhibition Avg",-8.2541,
5,"CFPAC","4456-3685",0.01667,"uM","% Inhibition Avg",1.1431,
5,"CFPAC","4456-3685",40,"uM","% Inhibition Avg",98.927,
5,"CFPAC","4456-3685",20,"uM","% Inhibition Avg",68.047,
5,"CFPAC","4456-3685",10,"uM","% Inhibition Avg",18.888,
5,"CFPAC","4456-3685",3.33,"uM","% Inhibition Avg",1.5735,
5,"CFPAC","4456-3685",1,"uM","% Inhibition Avg",-5.8031,
5,"CFPAC","4456-3685",0.333,"uM","% Inhibition Avg",-0.11501,
5,"CFPAC","4456-3685",0.01667,"uM","% Inhibition Avg",-15.898,
7,"HEK","4456-3685",40,"uM","% Inhibition Avg",96.624,
7,"HEK","4456-3685",20,"uM","% Inhibition Avg",26.094,
7,"HEK","4456-3685",10,"uM","% Inhibition Avg",0.75406,
7,"HEK","4456-3685",3.33,"uM","% Inhibition Avg",6.0768,
7,"HEK","4456-3685",1,"uM","% Inhibition Avg",11.003,
7,"HEK","4456-3685",0.333,"uM","% Inhibition Avg",7.4559,
7,"HEK","4456-3685",0.01667,"uM","% Inhibition Avg",5.1612,
7,"HEK","4456-3685",40,"uM","% Inhibition Avg",67.427,
7,"HEK","4456-3685",20,"uM","% Inhibition Avg",27.702,
7,"HEK","4456-3685",10,"uM","% Inhibition Avg",5.462,
7,"HEK","4456-3685",3.33,"uM","% Inhibition Avg",-4.3912,
7,"HEK","4456-3685",1,"uM","% Inhibition Avg",13.227,
7,"HEK","4456-3685",0.333,"uM","% Inhibition Avg",1.4502,
7,"HEK","4456-3685",0.01667,"uM","% Inhibition Avg",9.1682,
1,"BXPC3","5591-1963",40,"uM","% Inhibition Avg",46.025,
1,"BXPC3","5591-1963",20,"uM","% Inhibition Avg",9.4075,
1,"BXPC3","5591-1963",10,"uM","% Inhibition Avg",10.74,
1,"BXPC3","5591-1963",3.33,"uM","% Inhibition Avg",4.9599,
1,"BXPC3","5591-1963",1,"uM","% Inhibition Avg",4.9297,
1,"BXPC3","5591-1963",0.333,"uM","% Inhibition Avg",2.0261,
1,"BXPC3","5591-1963",0.01667,"uM","% Inhibition Avg",7.2029,
1,"BXPC3","5591-1963",40,"uM","% Inhibition Avg",47.581,
1,"BXPC3","5591-1963",20,"uM","% Inhibition Avg",-0.07032,
1,"BXPC3","5591-1963",10,"uM","% Inhibition Avg",-5.8681,
1,"BXPC3","5591-1963",3.33,"uM","% Inhibition Avg",-7.3657,
1,"BXPC3","5591-1963",1,"uM","% Inhibition Avg",-0.02028,
1,"BXPC3","5591-1963",0.333,"uM","% Inhibition Avg",1.012,
1,"BXPC3","5591-1963",0.01667,"uM","% Inhibition Avg",-1.0429,
3,"CAPAN2","5591-1963",40,"uM","% Inhibition Avg",88.109,
3,"CAPAN2","5591-1963",20,"uM","% Inhibition Avg",53.152,
3,"CAPAN2","5591-1963",10,"uM","% Inhibition Avg",33.982,
3,"CAPAN2","5591-1963",3.33,"uM","% Inhibition Avg",24.819,
3,"CAPAN2","5591-1963",1,"uM","% Inhibition Avg",10.839,
3,"CAPAN2","5591-1963",0.333,"uM","% Inhibition Avg",7.2034,
3,"CAPAN2","5591-1963",0.01667,"uM","% Inhibition Avg",6.0128,
3,"CAPAN2","5591-1963",40,"uM","% Inhibition Avg",90.608,
3,"CAPAN2","5591-1963",20,"uM","% Inhibition Avg",58.624,
3,"CAPAN2","5591-1963",10,"uM","% Inhibition Avg",28.265,
3,"CAPAN2","5591-1963",3.33,"uM","% Inhibition Avg",8.7445,
3,"CAPAN2","5591-1963",1,"uM","% Inhibition Avg",4.0165,
3,"CAPAN2","5591-1963",0.333,"uM","% Inhibition Avg",0.10487,
3,"CAPAN2","5591-1963",0.01667,"uM","% Inhibition Avg",0.28725,
5,"CFPAC","5591-1963",40,"uM","% Inhibition Avg",44.008,
5,"CFPAC","5591-1963",20,"uM","% Inhibition Avg",26.656,
5,"CFPAC","5591-1963",10,"uM","% Inhibition Avg",14.503,
5,"CFPAC","5591-1963",3.33,"uM","% Inhibition Avg",2.958,
5,"CFPAC","5591-1963",1,"uM","% Inhibition Avg",13.967,
5,"CFPAC","5591-1963",0.333,"uM","% Inhibition Avg",12.53,
5,"CFPAC","5591-1963",0.01667,"uM","% Inhibition Avg",9.0859,
5,"CFPAC","5591-1963",40,"uM","% Inhibition Avg",34.735,
5,"CFPAC","5591-1963",20,"uM","% Inhibition Avg",8.9553,
5,"CFPAC","5591-1963",10,"uM","% Inhibition Avg",3.4817,
5,"CFPAC","5591-1963",3.33,"uM","% Inhibition Avg",4.4227,
5,"CFPAC","5591-1963",1,"uM","% Inhibition Avg",-2.6695,
5,"CFPAC","5591-1963",0.333,"uM","% Inhibition Avg",0.61431,
5,"CFPAC","5591-1963",0.01667,"uM","% Inhibition Avg",-3.244,
7,"HEK","5591-1963",40,"uM","% Inhibition Avg",73.279,
7,"HEK","5591-1963",20,"uM","% Inhibition Avg",45.945,
7,"HEK","5591-1963",10,"uM","% Inhibition Avg",27.416,
7,"HEK","5591-1963",3.33,"uM","% Inhibition Avg",34.832,
7,"HEK","5591-1963",1,"uM","% Inhibition Avg",27.895,
7,"HEK","5591-1963",0.333,"uM","% Inhibition Avg",21.178,
7,"HEK","5591-1963",0.01667,"uM","% Inhibition Avg",17.939,
7,"HEK","5591-1963",40,"uM","% Inhibition Avg",67.204,
7,"HEK","5591-1963",20,"uM","% Inhibition Avg",42.391,
7,"HEK","5591-1963",10,"uM","% Inhibition Avg",-2.335,
7,"HEK","5591-1963",3.33,"uM","% Inhibition Avg",0.16128,
7,"HEK","5591-1963",1,"uM","% Inhibition Avg",-0.59326,
7,"HEK","5591-1963",0.333,"uM","% Inhibition Avg",12.06,
7,"HEK","5591-1963",0.01667,"uM","% Inhibition Avg",2.2543,
1,"BXPC3","5994-0447",40,"uM","% Inhibition Avg",29.89,
1,"BXPC3","5994-0447",20,"uM","% Inhibition Avg",12.286,
1,"BXPC3","5994-0447",10,"uM","% Inhibition Avg",1.2489,
1,"BXPC3","5994-0447",3.33,"uM","% Inhibition Avg",-7.3681,
1,"BXPC3","5994-0447",1,"uM","% Inhibition Avg",-10.578,
1,"BXPC3","5994-0447",0.333,"uM","% Inhibition Avg",-14.803,
1,"BXPC3","5994-0447",0.01667,"uM","% Inhibition Avg",-7.1434,
1,"BXPC3","5994-0447",40,"uM","% Inhibition Avg",26.616,
1,"BXPC3","5994-0447",20,"uM","% Inhibition Avg",11.428,
1,"BXPC3","5994-0447",10,"uM","% Inhibition Avg",2.464,
1,"BXPC3","5994-0447",3.33,"uM","% Inhibition Avg",-8.281,
1,"BXPC3","5994-0447",1,"uM","% Inhibition Avg",-9.2124,
1,"BXPC3","5994-0447",0.333,"uM","% Inhibition Avg",-9.4291,
1,"BXPC3","5994-0447",0.01667,"uM","% Inhibition Avg",-8.0469,
3,"CAPAN2","5994-0447",40,"uM","% Inhibition Avg",74.032,
3,"CAPAN2","5994-0447",20,"uM","% Inhibition Avg",81.019,
3,"CAPAN2","5994-0447",10,"uM","% Inhibition Avg",44.576,
3,"CAPAN2","5994-0447",3.33,"uM","% Inhibition Avg",-3.8433,
3,"CAPAN2","5994-0447",1,"uM","% Inhibition Avg",-11.887,
3,"CAPAN2","5994-0447",0.333,"uM","% Inhibition Avg",-2.7392,
3,"CAPAN2","5994-0447",0.01667,"uM","% Inhibition Avg",-4.266,
3,"CAPAN2","5994-0447",40,"uM","% Inhibition Avg",74.137,
3,"CAPAN2","5994-0447",20,"uM","% Inhibition Avg",80.958,
3,"CAPAN2","5994-0447",10,"uM","% Inhibition Avg",39.604,
3,"CAPAN2","5994-0447",3.33,"uM","% Inhibition Avg",-7.7562,
3,"CAPAN2","5994-0447",1,"uM","% Inhibition Avg",-5.0887,
3,"CAPAN2","5994-0447",0.333,"uM","% Inhibition Avg",-5.0865,
3,"CAPAN2","5994-0447",0.01667,"uM","% Inhibition Avg",-5.008,
5,"CFPAC","5994-0447",40,"uM","% Inhibition Avg",39.352,
5,"CFPAC","5994-0447",20,"uM","% Inhibition Avg",21.946,
5,"CFPAC","5994-0447",10,"uM","% Inhibition Avg",10.227,
5,"CFPAC","5994-0447",3.33,"uM","% Inhibition Avg",-11.637,
5,"CFPAC","5994-0447",1,"uM","% Inhibition Avg",-8.1226,
5,"CFPAC","5994-0447",0.333,"uM","% Inhibition Avg",-13.215,
5,"CFPAC","5994-0447",0.01667,"uM","% Inhibition Avg",-11.813,
5,"CFPAC","5994-0447",40,"uM","% Inhibition Avg",38.78,
5,"CFPAC","5994-0447",20,"uM","% Inhibition Avg",18.817,
5,"CFPAC","5994-0447",10,"uM","% Inhibition Avg",13.118,
5,"CFPAC","5994-0447",3.33,"uM","% Inhibition Avg",-8.2154,
5,"CFPAC","5994-0447",1,"uM","% Inhibition Avg",-3.7462,
5,"CFPAC","5994-0447",0.333,"uM","% Inhibition Avg",-6.698,
5,"CFPAC","5994-0447",0.01667,"uM","% Inhibition Avg",-7.3891,
7,"HEK","5994-0447",40,"uM","% Inhibition Avg",74.328,
7,"HEK","5994-0447",20,"uM","% Inhibition Avg",68.178,
7,"HEK","5994-0447",10,"uM","% Inhibition Avg",24.443,
7,"HEK","5994-0447",3.33,"uM","% Inhibition Avg",0.66994,
7,"HEK","5994-0447",1,"uM","% Inhibition Avg",4.4134,
7,"HEK","5994-0447",0.333,"uM","% Inhibition Avg",-26.652,
7,"HEK","5994-0447",0.01667,"uM","% Inhibition Avg",-18.378,
7,"HEK","5994-0447",40,"uM","% Inhibition Avg",74.705,
7,"HEK","5994-0447",20,"uM","% Inhibition Avg",66.823,
7,"HEK","5994-0447",10,"uM","% Inhibition Avg",22.976,
7,"HEK","5994-0447",3.33,"uM","% Inhibition Avg",-12.712,
7,"HEK","5994-0447",1,"uM","% Inhibition Avg",-26.193,
7,"HEK","5994-0447",0.333,"uM","% Inhibition Avg",-15.787,
7,"HEK","5994-0447",0.01667,"uM","% Inhibition Avg",-19.527,
1,"BXPC3","8018-0692",8,"uM","% Inhibition Avg",1.4192,
1,"BXPC3","8018-0692",4,"uM","% Inhibition Avg",-2.4775,
1,"BXPC3","8018-0692",2,"uM","% Inhibition Avg",-14.369,
1,"BXPC3","8018-0692",0.67,"uM","% Inhibition Avg",-12.131,
1,"BXPC3","8018-0692",0.2,"uM","% Inhibition Avg",-7.0756,
1,"BXPC3","8018-0692",0.067,"uM","% Inhibition Avg",-3.7063,
1,"BXPC3","8018-0692",0.00333,"uM","% Inhibition Avg",-4.1825,
1,"BXPC3","8018-0692",8,"uM","% Inhibition Avg",15.012,
1,"BXPC3","8018-0692",4,"uM","% Inhibition Avg",4.784,
1,"BXPC3","8018-0692",2,"uM","% Inhibition Avg",3.0023,
1,"BXPC3","8018-0692",0.67,"uM","% Inhibition Avg",-0.14296,
1,"BXPC3","8018-0692",0.2,"uM","% Inhibition Avg",2.1948,
1,"BXPC3","8018-0692",0.067,"uM","% Inhibition Avg",6.2513,
1,"BXPC3","8018-0692",0.00333,"uM","% Inhibition Avg",8.0056,
3,"CAPAN2","8018-0692",8,"uM","% Inhibition Avg",18.697,
3,"CAPAN2","8018-0692",4,"uM","% Inhibition Avg",-1.3769,
3,"CAPAN2","8018-0692",2,"uM","% Inhibition Avg",-4.3663,
3,"CAPAN2","8018-0692",0.67,"uM","% Inhibition Avg",0.6859,
3,"CAPAN2","8018-0692",0.2,"uM","% Inhibition Avg",1.2081,
3,"CAPAN2","8018-0692",0.067,"uM","% Inhibition Avg",-0.80793,
3,"CAPAN2","8018-0692",0.00333,"uM","% Inhibition Avg",-0.57471,
3,"CAPAN2","8018-0692",8,"uM","% Inhibition Avg",15.942,
3,"CAPAN2","8018-0692",4,"uM","% Inhibition Avg",9.3603,
3,"CAPAN2","8018-0692",2,"uM","% Inhibition Avg",-2.741,
3,"CAPAN2","8018-0692",0.67,"uM","% Inhibition Avg",2.7215,
3,"CAPAN2","8018-0692",0.2,"uM","% Inhibition Avg",-0.62733,
3,"CAPAN2","8018-0692",0.067,"uM","% Inhibition Avg",4.1025,
3,"CAPAN2","8018-0692",0.00333,"uM","% Inhibition Avg",-3.0513,
5,"CFPAC","8018-0692",8,"uM","% Inhibition Avg",7.5899,
5,"CFPAC","8018-0692",4,"uM","% Inhibition Avg",-3.2944,
5,"CFPAC","8018-0692",2,"uM","% Inhibition Avg",-3.5308,
5,"CFPAC","8018-0692",0.67,"uM","% Inhibition Avg",-2.1771,
5,"CFPAC","8018-0692",0.2,"uM","% Inhibition Avg",0.26924,
5,"CFPAC","8018-0692",0.067,"uM","% Inhibition Avg",-5.9519,
5,"CFPAC","8018-0692",0.00333,"uM","% Inhibition Avg",5.665,
5,"CFPAC","8018-0692",8,"uM","% Inhibition Avg",4.4941,
5,"CFPAC","8018-0692",4,"uM","% Inhibition Avg",10.963,
5,"CFPAC","8018-0692",2,"uM","% Inhibition Avg",11.537,
5,"CFPAC","8018-0692",0.67,"uM","% Inhibition Avg",15.103,
5,"CFPAC","8018-0692",0.2,"uM","% Inhibition Avg",5.866,
5,"CFPAC","8018-0692",0.067,"uM","% Inhibition Avg",8.8061,
5,"CFPAC","8018-0692",0.00333,"uM","% Inhibition Avg",9.3088,
7,"HEK","8018-0692",8,"uM","% Inhibition Avg",1.1137,
7,"HEK","8018-0692",4,"uM","% Inhibition Avg",15.544,
7,"HEK","8018-0692",2,"uM","% Inhibition Avg",-3.8744,
7,"HEK","8018-0692",0.67,"uM","% Inhibition Avg",9.8903,
7,"HEK","8018-0692",0.2,"uM","% Inhibition Avg",1.5339,
7,"HEK","8018-0692",0.067,"uM","% Inhibition Avg",-2.4743,
7,"HEK","8018-0692",0.00333,"uM","% Inhibition Avg",8.9012,
7,"HEK","8018-0692",8,"uM","% Inhibition Avg",23.45,
7,"HEK","8018-0692",4,"uM","% Inhibition Avg",20.357,
7,"HEK","8018-0692",2,"uM","% Inhibition Avg",16.348,
7,"HEK","8018-0692",0.67,"uM","% Inhibition Avg",24.441,
7,"HEK","8018-0692",0.2,"uM","% Inhibition Avg",17.286,
7,"HEK","8018-0692",0.067,"uM","% Inhibition Avg",17.851,
7,"HEK","8018-0692",0.00333,"uM","% Inhibition Avg",25.004,
1,"BXPC3","8020-7617",8,"uM","% Inhibition Avg",51.644,
1,"BXPC3","8020-7617",4,"uM","% Inhibition Avg",48.041,
1,"BXPC3","8020-7617",2,"uM","% Inhibition Avg",43.54,
1,"BXPC3","8020-7617",0.67,"uM","% Inhibition Avg",21.86,
1,"BXPC3","8020-7617",0.2,"uM","% Inhibition Avg",3.033,
1,"BXPC3","8020-7617",0.067,"uM","% Inhibition Avg",0.34615,
1,"BXPC3","8020-7617",0.00333,"uM","% Inhibition Avg",7.5911,
1,"BXPC3","8020-7617",8,"uM","% Inhibition Avg",47.078,
1,"BXPC3","8020-7617",4,"uM","% Inhibition Avg",40.834,
1,"BXPC3","8020-7617",2,"uM","% Inhibition Avg",38.162,
1,"BXPC3","8020-7617",0.67,"uM","% Inhibition Avg",14.435,
