"Sample","Conc (uM)","BXPC3_Rep1","BXPC3_Rep2","CAPAN2_Rep1","CAPAN2_Rep2","CFPAC_Rep1","CFPAC_Rep2","HEK_Rep1","HEK_Rep2"
"8397-0665",40,31.2,43.101,80.427,72.657,19.796,17.12,100.25,96.406
"8397-0665",20,21.723,29.788,87.097,75.156,27.028,24.462,102.77,96.198
"8397-0665",10,7.9477,13.833,71.467,68.648,7.4504,5.8091,93.188,84.214
"8397-0665",3.33,-10.087,-3.2961,23.378,8.7872,0.38802,-4.3863,18.851,26.429
"8397-0665",1,-4.6719,-10.374,0.01362,-6.123,-2.9928,-4.8601,-3.3019,-4.2446
"8397-0665",0.33,-10.621,-9.0262,-17.571,-9.1303,-2.7051,-2.7795,-2.6619,-7.8964
"8397-0665",0.01667,-7.4413,-5.1029,11.021,0.49835,-5.5238,-1.1625,-6.1583,-9.9903
"MCULE-1329921853",40,75.906,71.809,29.838,21.394,37.103,28.787,63.167,65.164
"MCULE-1329921853",20,78.49,76.354,27.948,26.147,34.321,32.007,56.897,55.478
"MCULE-1329921853",10,59.889,53.969,12.774,7.3195,32.953,14.103,57.958,53.768
"MCULE-1329921853",3.33,-1.5941,-3.5763,-8.6892,-15.68,-7.842,-8.9585,23.771,9.522
"MCULE-1329921853",1,-9.9992,-7.2531,-11.38,-9.0178,-10.198,-10.936,8.8314,-0.96705
"MCULE-1329921853",0.33,-3.1673,-3.4193,-16.719,-12.597,-8.6092,-12.197,-5.3371,2.742
"MCULE-1329921853",0.01667,-9.2457,-12.954,-10.489,-3.1449,-11.476,-8.5057,2.142,0.91376
"MCULE-8454725046",40,73.798,73.091,20.2,27.614,33.987,34.955,68.345,69.331
"MCULE-8454725046",20,68.888,61.442,12.78,7.9641,14.434,7.2361,63.195,60.853
"MCULE-8454725046",10,5.6344,11.575,-6.4168,-4.6999,-0.72078,-0.48172,35.246,37.505
"MCULE-8454725046",3.33,-10.538,-5.854,-15.565,-13.99,-9.1859,-14.119,3.3204,6.5144
"MCULE-8454725046",1,-14.564,-12.003,-17.961,-11.808,-9.7884,-9.735,-2.7474,-0.45013
"MCULE-8454725046",0.33,-9.9753,-14.187,-7.8487,-13.044,-5.4154,-5.7381,-11.768,6.6736
"MCULE-8454725046",0.01667,-20.914,-8.5228,-7.7217,-5.4793,-9.2734,-7.7477,-5.9386,-5.2024
"MCULE-5830374764",40,84.137,79.49,33.187,40.396,45.919,42.854,70.155,71.374
"MCULE-5830374764",20,72.825,66.736,22.134,11.795,35.806,31.718,65.528,65.045
"MCULE-5830374764",10,57.891,53.127,6.2143,7.0703,24.166,16.668,55.718,58.725
"MCULE-5830374764",3.33,10.821,2.7963,2.034,-2.6679,-2.3854,-14.451,6.8313,18.887
"MCULE-5830374764",1,-8.3763,-13.859,-4.6097,-21.404,-5.5879,-10.04,-13.57,-0.85249
"MCULE-5830374764",0.33,-1.607,-11.089,-4.0726,-1.3204,1.0877,-6.9188,-11.973,-6.6386
"MCULE-5830374764",0.01667,-4.3132,-14.778,-11.197,-4.7464,-0.16249,-4.4077,-5.6879,0.18463
"MCULE-2326121181",40,72.934,70.865,30.009,26.279,34.214,29.404,68.795,66.844
"MCULE-2326121181",20,68.679,68.899,28.554,15.668,33.75,29.805,56.202,52.812
"MCULE-2326121181",10,63.565,62.692,19.37,16.484,31.94,29.293,57.44,54.535
"MCULE-2326121181",3.33,-2.0055,-4.2151,-6.475,-5.553,-9.4877,-15.12,12.5,7.3459
"MCULE-2326121181",1,-12.423,-4.5683,-5.8836,-18.067,-5.8702,-9.8122,-1.1929,1.6128
"MCULE-2326121181",0.33,-12.353,-16.643,-12.393,-24.203,-1.5478,-11.816,-3.377,-15.813
"MCULE-2326121181",0.01667,-17.464,-14.721,-15.818,-13.916,-3.9412,-9.5192,-11.219,-16.368
"MCULE-6767457754",40,79.019,79.989,31.063,43.21,18.322,26.766,106.86,106.32
"MCULE-6767457754",20,72.66,58.729,14.262,12.387,0.02214,2.0507,87.813,85.42
"MCULE-6767457754",10,15.241,24.343,-3.1197,-12.477,-1.8957,-5.1336,69.446,66.297
"MCULE-6767457754",3.33,-11.735,-9.6957,-8.3034,-16.883,-4.175,-7.1792,48.13,42.466
"MCULE-6767457754",1,-8.5725,-7.6712,-27.363,-17.587,-3.7901,-9.4439,20.331,19.416
"MCULE-6767457754",0.33,-14.692,-11.002,-13.119,-20.938,-4.4101,-1.4054,5.3463,6.029
"MCULE-6767457754",0.01667,-11,-0.06012,-21.833,-1.141,-8.1607,2.4778,5.2458,2.919
"MCULE-1508380250",40,90.21,91.721,49.788,58.289,44.686,46.889,100.54,99.965
"MCULE-1508380250",20,81.75,77.889,29.006,37.483,28.157,32.345,88.134,87.801
"MCULE-1508380250",10,44.224,58.35,14.685,21.585,2.7562,8.3687,71.913,77.987
"MCULE-1508380250",3.33,7.177,24.934,-15.306,10.565,-3.5511,4.5793,55.968,63.021
"MCULE-1508380250",1,-11.178,2.6658,-11.294,0.29282,-0.71883,8.6136,20.875,30.617
"MCULE-1508380250",0.33,-11.301,6.8128,-7.6189,6.541,2.2572,10.474,10.471,25.187
"MCULE-1508380250",0.01667,-15.013,5.234,-10.321,0.62341,-1.6964,5.5098,-4.909,8.0487
"MCULE-3283587573",40,76.988,72.428,31.785,25.778,42.843,32.987,62.055,64.762
"MCULE-3283587573",20,75.304,69.159,29.395,29.151,31.104,32.854,59.58,60.751
"MCULE-3283587573",10,62.74,54.468,12.967,9.1188,23.627,14.283,56.3,52.388
"MCULE-3283587573",3.33,-1.1711,-1.6094,-10.546,-7.8477,0.47499,-8.4075,13.859,26.024
"MCULE-3283587573",1,-13.797,-14.165,-18.754,-10.294,-8.8147,-9.5479,-5.8743,-8.5579
