SMILES,Supplier Ref,CLNUMBER,PLATE,Capan-2,SW1990,BxPC-3,HPAF-II,CFPAC-1,Panc10.05,AsPC-1,in_plate_selection,positives Capan-2,positives SW1990,positives BxPC-3,positives HPAF-II,positives CFPAC-1,positives Panc10.05,positives AsPC-1,# positives,positives any
CCN(CC)C(=O)Cn1cnc2sc(C(=O)NCCCOC)c(C)c2c1=O,3909-8560,CL1572,PLATE_001,27.1236,10.3256,1.3229,5.8391,-1.5997,6.6135,6.3664,0,0,0,0,0,0,0,0,0,0
Cc1sc(-n2c(C)c3c(C)nnc(C)c3c2C)nc1-c1cccs1,6557-0199,CL2941,PLATE_001,6.6508,1.5008,1.1223,5.7181,14.7236,10.6087,-3.4527,0,0,0,0,0,0,0,0,0,0
Cc1c(C(=O)O)sc2ncn(CC(=O)N3CCCCC3C)c(=O)c12,3909-9330,CL0774,PLATE_001,26.2876,-10.6367,-3.4028,0.9269,-12.3405,2.2155,10.313,0,0,0,0,0,0,0,0,0,0
COc1ccc(-c2nc(-n3c(C)c4c(C)nnc(C)c4c3C)sc2C)cc1,6557-0202,CL2941,PLATE_001,7.492,-5.6804,-4.6193,1.9559,-1.2201,0.1678,-4.5423,0,0,0,0,0,0,0,0,0,0
Cc1cc2ncn(CC(O)COc3ccc(Cl)cc3)c2cc1C,3910-0329,CL2894,PLATE_001,19.8987,-0.8648,-4.7604,4.2708,3.5699,-1.7802,6.3027,0,0,0,0,0,0,0,0,0,0
OCCCc1nc2ccccc2n1CCCOc1ccc(Cl)cc1,6560-0355,CL5561B,PLATE_001,5.9753,-3.2251,-4.3832,2.1388,7.8457,-0.6301,5.4545,0,0,0,0,0,0,0,0,0,0
Cc1ccc2nc3c(c(Nc4ccccc4)c2c1)CCC3,3931-1998,CL3010,PLATE_001,37.0338,19.9207,10.9041,23.1201,23.4953,15.2342,6.6686,0,1,0,0,1,0,0,0,2,1
Cc1cc(=O)[nH]c(SCC(=O)O)n1,6577-0575,CL0015,PLATE_001,18.038,-6.8245,0.8776,-1.625,5.9867,0.916,0.61833,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C)c(OCCSc2nc3ccccc3[nH]2)c1,3948-0172,CL1122,PLATE_001,11.2072,9.8023,-2.4991,10.6978,-5.3075,5.87,-0.01062,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C(C)C)c(OCCN2C(=O)C(=O)c3cc(C)ccc32)c1,6603-0052,CL1270,PLATE_001,0.4537,-8.2553,-4.205,-7.5792,6.4315,-4.1658,3.3318,0,0,0,0,0,0,0,0,0,0
CC(=O)Oc1ccc(-c2nc3ccc(Cl)cc3c(=O)o2)cc1,3952-0948,CL1080,PLATE_001,19.6684,-0.4444,-2.1723,2.8875,-2.7299,-6.663,7.3729,1,0,0,0,0,0,0,0,0,0
Cc1ccc(C(C)C)c(OCCCN2C(=O)C(=O)c3cc(C)ccc32)c1,6603-0060,CL1270,PLATE_001,15.259,-2.2613,-2.894,-2.1817,9.4829,-6.6651,11.354,0,0,0,0,0,0,0,0,0,0
CCOC(=O)CSc1nc(N2CCOCC2)c2c(c1C#N)CCCC2,3966-1193,CL1966,PLATE_001,8.229,-3.4195,1.6608,4.0229,-5.6306,-5.374,-9.0711,0,0,0,0,0,0,0,0,0,0
O=C1c2ccccc2C(=O)c2c1cccc2N1CCC(O)CC1,6612-0273,CL0699,PLATE_001,70.6732,9.8243,8.0156,4.3693,6.2823,16.87,-2.605,0,1,0,0,0,0,0,0,1,1
COC(=O)c1cccc(N2C(=O)C3C4C=CC(C4=C(c4ccccc4)c4ccccc4)C3C2=O)c1,3970-0723,CL2709,PLATE_001,22.1076,-11.7043,0.1055,0.0937,2.5876,0.346,1.8436,0,0,0,0,0,0,0,0,0,0
O=c1c(Oc2ccccc2Cl)c(C(F)(F)F)oc2cc(O)ccc12,6649-0762,CL0438,PLATE_001,-2.7225,-11.2224,11.3019,1.4091,-3.718,-20.4572,7.2904,0,0,0,0,0,0,0,0,0,0
CCCCCNc1nc(CCCC)c2c(c1C#N)CC(C)(C)OC2,5921-0104,CL1957,PLATE_001,18.9085,-4.3973,9.4309,6.004,9.7003,11.1919,7.4809,0,0,0,0,0,0,0,0,0,0
CCOC(=O)C1=C(C)N=C2SC(CC)C(=O)N2C1c1ccc(SC)cc1,6187-0592,CL1457,PLATE_001,24.3185,15.0146,23.2344,15.8704,20.6858,6.3206,6.352,0,0,0,1,0,0,0,0,1,1
CC(=O)Oc1ccc2nc(-c3ccc4c(c3)C(=O)N(CC(C)C)C4=O)oc(=O)c2c1,5930-0601,CL1080,PLATE_001,18.8365,-0.4277,-4.6605,-7.0235,0.8228,2.4287,-9.0905,0,0,0,0,0,0,0,0,0,0
CCC1SC2=NC(C)=C(C(=O)OC(C)C)C(c3ccc(C(C)(C)C)cc3)N2C1=O,6187-0600,CL1457,PLATE_001,10.957,-9.3106,-0.8497,-7.0225,-7.7634,-9.6862,-2.2441,0,0,0,0,0,0,0,0,0,0
