Supplier Ref,SMILES,PLATE,CLNUMBER,WELL,% Inh ASPC1 MEAN CONF,% Inh ASPC1 SD CONF,% Inh ASPC1 MIN CONF,% Inh ASPC1 MAX CONF,% Inh BXPC3 MEAN CONF,% Inh BXPC3 SD CONF,% Inh BXPC3 MIN CONF, % Inh BXPC3 MAX CONF,% Inh CAPAN MEAN CONF,% Inh CAPAN SD CONF,% Inh CAPAN MIN CONF,% Inh CAPAN MAX CONF,% Inh CFPAC MEAN CONF,% Inh CFPAC SD CONF,% Inh CFPAC MIN CONF, % InhCFPAC MAX CONF,% Inh HEK293 CONF MEAN,% Inh HEK293 CONF SD,% Inh HEK293 CONF MIN,% Inh HEK293 CONF MAX,% Inh HPAF II CONF Mean,% Inh HPAF II CONF SD,% Inh HPAF II CONF MIN,% Inh HPAF II CONF MAX,% Inh PANC CONF MEAN,% Inh PANC CONF SD, % Inh PANC CONF MIN,% Inh PANC CONF MAX,% Inh SW1990 CONF MEAN,% Inh SW1990 CONF SD,%Inh SW1990 CONF MIN,% Inh SW1990 CONF MAX,% Inh U2O2 CONF MEAN,% Inh U2O2 CONF SD,% Inh U2O2 CONF MIN,% Inh U2O2 CONF MAX
3931-1998,Cc1ccc2nc3c(c(Nc4ccccc4)c2c1)CCC3,PLATE_001,CL3010,G03,-0.05889999999999995,6.608478555613236,-4.7318,4.614,9.0988,1.0180923435523912,8.3789,9.8187,29.0056,4.45406561469406,25.8561,32.1551,21.296950000000002,1.610294272796125,20.1583,22.4356,49.125550000000004,13.891607691156556,39.3027,58.9484,19.0507,3.6810564815009292,16.4478,21.6536,16.4694,3.1716567563341402,14.2267,18.7121,17.3436,2.35211999693893,15.6804,19.0068,18.51255,2.5965668111951214,16.6765,20.3486
6612-0273,O=C1c2ccccc2C(=O)c2c1cccc2N1CCC(O)CC1,PLATE_001,CL0699,N03,-1.0063499999999999,3.4893598331212563,-3.4737,1.461,8.73805,0.2639629614169385,8.5514,8.9247,75.5209,3.5342611137266,73.0218,78.02,9.086,4.242075001694335,6.0864,12.0856,-3.1118,5.489552785063643,-6.9935,0.7699,15.20475,2.6289523017734653,13.3458,17.0637,16.71575,0.06724585489084221,16.6682,16.7633,2.4676,4.219589006052604,-0.5161,5.4513,-21.913850000000004,23.51674519666784,-38.5427,-5.285
6658-0003,Cc1ccc2c(c1)c1c(n2CC(O)CNCc2ccccc2)CCCC1,PLATE_001,CL1206,F05,10.150350000000001,11.393540854580722,2.0939,18.2068,3.5408999999999997,3.319300652245891,1.1938,5.888,31.328650000000003,8.880907618312445,25.0489,37.6084,19.229599999999998,6.990740481522682,14.2864,24.1728,32.66685,41.976757669036324,2.9848,62.3489,10.4666,9.026500904558754,4.0839,16.8493,35.68895,13.69531484869917,26.0049,45.373,24.68785,12.08692976421225,16.1411,33.2346,31.2318,3.6493780977037726,28.6513,33.8123
4072-2778,c1ccc(-c2nc3c4c5c(sc4ncn3n2)CCCCC5)cc1,PLATE_001,CL1989,O09,-10.83185,5.102553243720245,-14.4399,-7.2238,0.24860000000000004,3.131917355231456,-1.966,2.4632,2.58995,2.114885671850845,1.0945,4.0854,-1.2086999999999999,3.2498627663333726,-3.5067,1.0893,-8.68985,0.07063996744053601,-8.7398,-8.6399,4.5565,8.622884353857472,-1.5408,10.6538,5.75995,0.34386602769101804,5.5168,6.0031,0.6820500000000003,12.164994352855246,-7.9199,9.284,33.29005,4.412275603925934,30.1701,36.41
6359-0280,CC(C)c1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3nn(-c4ccccc4)c(O)c32)cc1,PLATE_001,CL4744,L10,-5.937250000000001,0.16949349545041548,-6.0571,-5.8174,-4.77885,10.575135466035412,-12.2566,2.6989,4.33115,1.27781266428221,3.4276,5.2347,3.7856500000000004,0.3891208616869574,3.5105,4.0608,3.58205,7.635126891217984,-1.8168,8.9809,1.6657,5.560546305894772,-2.2662,5.5976,0.7731999999999999,4.258904143086576,-2.2383,3.7847,0.2031,0.09220672426672578,0.1379,0.2683,28.292499999999997,1.1134103376563378,27.5052,29.0798
4075-3632,CCNc1nc(NCC)nc(Oc2ccc(O)nn2)n1,PLATE_001,CL2117,A11,-11.182,0.0581241774135344,-11.2231,-11.1409,4.71995,6.437005161175497,0.1683,9.2716,-2.03645,1.049841438027667,-2.7788,-1.2941,-1.2982500000000001,3.0608531237222083,-3.4626,0.8661,-0.7130000000000001,5.932767315511371,-4.9081,3.4821,5.8363,6.281936644061288,1.3943,10.2783,4.16045,7.649834712266665,-1.2488,9.5697,-5.7414499999999995,5.296159080409122,-9.4864,-1.9965,34.8694,11.98659131196188,26.3936,43.3452
6738-0014,CCCCCn1c(=N)n(CC(O)COc2ccccc2OC)c2ccccc21,PLATE_001,CL1276,B11,0.639,4.087218616614482,-2.2511,3.5291,8.418050000000001,6.955880117210188,3.4995,13.3366,27.46825,1.3567257810626296,26.5089,28.4276,14.1434,3.9422617264712403,11.3558,16.931,56.356049999999996,8.35213316734114,50.4502,62.2619,17.7245,2.559019441114115,15.915,19.534,40.57185,1.032588032566713,39.8417,41.302,19.29145,5.039479318838406,15.728,22.8549,29.7176,9.342436214392905,23.1115,36.3237
6738-0016,CCCCCn1c(=N)n(CC(O)COc2ccccc2)c2ccccc21,PLATE_001,CL1276,D11,-8.72545,8.114828131574939,-14.4635,-2.9874,9.69345,6.661582274880346,4.983,14.4039,20.5568,1.9557159354057523,19.1739,21.9397,16.07875,4.017710020023844,13.2378,18.9197,47.850899999999996,13.960692023678483,37.9792,57.7226,24.3012,1.3276636923558598,23.3624,25.24,20.5161,2.7926475216181514,18.5414,22.4908,17.0127,0.47673139187596963,16.6756,17.3498,5.2066,1.8297095069983105,3.9128,6.5004
6738-0044,COc1ccccc1OCC(O)Cn1c(=N)n(Cc2ccccc2)c2ccccc21,PLATE_001,CL1276,H11,5.3172500000000005,8.776821500121784,-0.8889,11.5234,4.2652,6.356041434729638,-0.2292,8.7596,27.5343,2.618133568021311,25.683,29.3856,9.4102,5.455187395497976,5.5528,13.2676,44.40585,5.917705941072096,40.2214,48.5903,11.00865,1.856650275361518,9.6958,12.3215,28.974899999999998,3.0885009988666017,26.791,31.1588,29.308100000000003,2.144089181913849,27.792,30.8242,18.13365,14.02807929992556,8.2143,28.053
6738-0091,CCCn1c(NCc2ccc(CC)cc2)nc2ccccc21,PLATE_001,CL3075,P11,-8.22185,4.992668849923857,-11.7522,-4.6915,2.9577999999999998,7.371022508444809,-2.2543,8.1699,8.1075,1.9801818300348075,6.7073,9.5077,8.3171,1.5936772634382415,7.1902,9.444,5.40635,2.727947251139582,3.4774,7.3353,8.42315,2.824679458805902,6.4258,10.4205,7.2425,1.0320930578198848,6.5127,7.9723,12.2705,3.19060721806994,10.0144,14.5266,66.88335000000001,3.699794811202369,64.2672,69.4995
6061-0041,Cc1ccc(N2Cc3ccccc3C2)cc1Cl,PLATE_001,CL3090,K12,-6.050000000000001,0.09899494936611643,-6.12,-5.98,2.8824,1.3287950632057601,1.9428,3.822,1.7432,2.7792124927756063,-0.222,3.7084,4.9916,3.407830421250447,2.5819,7.4013,-14.87445,11.648664981232828,-23.1113,-6.6376,8.219349999999999,6.602892412041862,3.5504,12.8883,0.40095,1.7710903548379457,-0.8514,1.6533,7.0466999999999995,5.634368253850647,3.0626,11.0308,27.9608,11.678999862145728,19.7025,36.2191
4121-0056,COC(=O)CSc1nc2c(c(=O)[nH]1)C(C)(C1CCCCC1)Cc1ccccc1-2,PLATE_001,CL0017,A13,60.9073,0.565826846305478,60.5072,61.3074,9.5458,0.015839191898579432,9.5346,9.557,22.72925,8.479836652023433,16.7331,28.7254,44.2204,0.8523465140422625,43.6177,44.8231,48.88715,1.6836919566832909,47.6966,50.0777,11.1836,3.8537319574666835,8.4586,13.9086,14.2378,2.569201778763203,12.4211,16.0545,15.694749999999999,4.8272058631262045,12.2814,19.1081,74.68775,3.5599290898836693,72.1705,77.205
6743-0005,O=S(=O)(CCSc1ccccn1)c1nc2ccccc2s1,PLATE_001,CL2241,D15,28.8284,8.627975522682014,22.7275,34.9293,9.646849999999999,12.863474431311316,0.551,18.7427,8.0214,5.021730938630623,4.4705,11.5723,17.941850000000002,13.087627280947453,8.6875,27.1962,27.03025,15.987755033305957,15.7252,38.3353,-0.09079999999999999,0.29868190437319764,-0.302,0.1204,5.8179,0.23292097372284853,5.6532,5.9826,-3.5462,3.0069008763176748,-5.6724,-1.42,28.69575,24.503724841848026,11.369,46.0225
6809-0008,COc1ccc(Nc2nc(N)nc(CSc3ncccn3)n2)cc1,PLATE_001,CL2120,F17,-29.607400000000002,5.630691298588478,-33.5889,-25.6259,-3.52865,8.062077965698421,-9.2294,2.1721,-6.9085,9.277099547811266,-13.4684,-0.3486,-5.56945,2.0935310470590114,-7.0498,-4.0891,-31.751849999999997,10.541335761894697,-39.2057,-24.298,-3.11775,2.650589769277773,-4.992,-1.2435,-13.297450000000001,1.0535183932898375,-14.0424,-12.5525,-3.1041999999999996,1.1286838441299671,-3.9023,-2.3061,-23.17275,13.720770692821887,-32.8748,-13.4707
6809-0046,COc1ccccc1Nc1nc(N)nc(CSc2nnc(-c3ccncc3)o2)n1,PLATE_001,CL2120,H17,-4.7017,1.1426845583974605,-5.5097,-3.8937,0.127,2.8931981059028775,-1.9188,2.1728,-2.4317499999999996,4.940342948116051,-5.9251,1.0616,-2.011,9.23269324195275,-8.5395,4.5175,-2.163,1.8868437349181835,-3.4972,-0.8288,5.17065,2.0849043443285353,3.6964,6.6449,4.8185,4.966293766985597,1.3068,8.3302,2.32815,2.1887076198067206,0.7805,3.8758,18.6695,9.119131892894192,12.2213,25.1177
