"SMILES","Supplier Ref","CLNUMBER","CAPAN","SW1990","BXPC3","HPAFII","CFPAC","PANC","ASPC1","positives CAPAN","positives SW1990","positives BXPC3","positives HPAFII","positives CFPAC","positives PANC","positives ASPC1","U2OS","HEK293"
"Cc1ccc2nc3c(c(Nc4ccccc4)c2c1)CCC3","3931-1998","CL3010",34.59445,19.46375,10.3614,22.38685,22.96545,14.73045,5.6413,1,0,0,1,0,0,0,18.51255,49.12555
"O=C1c2ccccc2C(=O)c2c1cccc2N1CCC(O)CC1","6612-0273","CL0699",71.8475,7.6378,8.73805,15.20475,6.18435,16.71575,-3.03935,1,0,0,0,0,0,0,-21.91385,-3.1118
"Cc1ccc2c(c1)c1c(n2CC(O)CNCc2ccccc2)CCCC1","6658-0003","CL1206",37.811,36.61605,6.38895,14.75835,19.2296,49.8893,16.4109,1,0,0,0,0,1,0,31.2318,32.66685
"c1ccc(-c2nc3c4c5c(sc4ncn3n2)CCCCC5)cc1","4072-2778","CL1989",2.58995,-3.88405,-1.6509,-2.66615,-1.2087,5.75995,-4.00172,0,0,0,0,0,0,0,33.29005,-8.68985
"CC(C)c1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3nn(-c4ccccc4)c(O)c32)cc1","6359-0280","CL4744",4.33115,0.2031,-0.661,-0.76515,3.78565,-4.4197,-5.93725,0,0,0,0,0,0,0,28.2925,3.58205
"CCNc1nc(NCC)nc(Oc2ccc(O)nn2)n1","4075-3632","CL2117",-2.03645,-5.74145,7.20695,10.5358,-1.29825,7.94725,-11.182,0,0,0,0,0,0,0,34.8694,-0.713
"CCCCCn1c(=N)n(CC(O)COc2ccccc2OC)c2ccccc21","6738-0014","CL1276",27.46825,19.29145,4.8524,18.98915,14.1434,40.0133,3.6159,0,0,0,0,0,1,0,29.7176,56.35605
"CCCCCn1c(=N)n(CC(O)COc2ccccc2)c2ccccc21","6738-0016","CL1276",20.5568,17.0127,4.66385,24.3012,16.07875,24.3551,0.28955,0,0,0,1,0,0,0,5.2066,47.8509
"COc1ccccc1OCC(O)Cn1c(=N)n(Cc2ccccc2)c2ccccc21","6738-0044","CL1276",30.2425,29.3081,0.84435,11.00865,9.4102,27.73675,1.9348,0,0,0,0,0,1,0,18.13365,44.40585
"CCCn1c(NCc2ccc(CC)cc2)nc2ccccc21","6738-0091","CL3075",8.1075,12.2705,9.95995,5.2161,6.1299,7.2425,-1.44085,0,0,0,0,0,0,0,66.88335,5.40635
"Cc1ccc(N2Cc3ccccc3C2)cc1Cl","6061-0041","CL3090",1.7432,7.0467,2.8824,3.49605,4.9916,-1.4911,-6.05,0,0,0,0,0,0,0,27.9608,-14.87445
"COC(=O)CSc1nc2c(c(=O)[nH]1)C(C)(C1CCCCC1)Cc1ccccc1-2","4121-0056","CL0017",33.1631,18.01945,9.5458,6.4739,43.8647,14.2378,60.9073,1,0,0,0,1,0,1,74.68775,48.88715
"O=S(=O)(CCSc1ccccn1)c1nc2ccccc2s1","6743-0005","CL2241",8.0214,-5.5348,2.0913,-0.0908,17.94185,5.8179,22.39425,0,0,0,0,0,0,0,28.69575,27.03025
"COc1ccc(Nc2nc(N)nc(CSc3ncccn3)n2)cc1","6809-0008","CL2120",1.9753,-3.1042,-9.2859,-0.7028,-5.56945,-13.29745,-29.6074,0,0,0,0,0,0,0,-23.17275,-31.75185
"COc1ccccc1Nc1nc(N)nc(CSc2nnc(-c3ccncc3)o2)n1","6809-0046","CL2120",0.55335,2.32815,1.30465,5.17065,6.35835,4.8185,-4.7017,0,0,0,0,0,0,0,18.6695,-2.163
"O=C(Nc1c(C(=O)c2ccc(Br)cc2)oc2ccccc12)c1ccccc1","6861-0174","CL3746",-1.2426,-0.943,-0.75465,6.22635,4.901,-0.4585,-13.4531,0,0,0,0,0,0,0,35.22475,-16.8102
"O=C(O)COc1nsnc1N1CCOCC1","6158-0201","CL1026",2.00615,-5.8717,2.81055,5.4549,7.82275,1.54825,-7.964,0,0,0,0,0,0,0,25.3975,-25.20985
"COCCn1c2c(c(=O)[nH]c1=O)C(c1ccc(C(C)C)cc1)C1=C(N2)c2ccccc2C1=O","6484-0039","CL1312",2.0826,11.63405,3.3265,8.9806,11.633,10.09495,14.691,0,0,0,0,0,0,0,21.049,16.55875
"CCn1c2c(c(=O)[nH]c1=O)C(c1ccc(C)cc1)C1=C(N2)c2ccccc2C1=O","6484-0102","CL1312",8.6835,12.7708,20.51205,9.8668,27.1984,17.1688,39.17685,0,0,0,0,0,0,1,33.1901,40.25975
"CCn1c2c(c(=O)[nH]c1=O)C(c1ccc(Br)cc1)C1=C(N2)c2ccccc2C1=O","6484-0113","CL1312",14.90415,19.92965,19.72755,15.4113,33.7347,25.4136,41.16515,0,0,0,0,0,0,1,50.46135,43.2826
"CCOCCCNC(=O)C1(O)c2cc(Br)ccc2NC(=O)N1c1ccc(CC)cc1","C109-0777","CL1102",-0.47375,-5.13765,3.3135,3.9302,5.80855,5.48635,-9.12015,0,0,0,0,0,0,0,36.55145,-5.05375
"CCc1ccc(N2C(=O)Nc3ccc(Br)cc3C2(O)C(=O)NCCC2=CCCCC2)cc1","C109-0785","CL1102",-5.3134,-7.4596,-3.7214,1.7572,4.7691,-2.0238,-13.04655,0,0,0,0,0,0,0,44.3996,-20.71225
"Cc1ccc(N2C(=O)Nc3ccc(Br)cc3C2(O)C(=O)NC2CCCCC2)cc1C","C109-0827","CL1102",12.3702,1.40115,-1.82255,8.2902,3.59135,10.43695,-3.39135,0,0,0,0,0,0,0,49.3726,-0.0524
"Cc1ccc(C2C3=C(CCCC3=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1","C117-0055","CL1109",-10.2189,-3.5675,-4.3775,4.5402,-6.70235,-6.37855,-9.10475,0,0,0,0,0,0,0,29.76705,-20.571
"CC(C)CSc1oc(-c2ccc(F)cc2)nc1S(=O)(=O)c1ccccc1","C176-0175","CL1726",-9.30035,-6.6262,7.7301,9.4701,6.6918,-0.5614,-11.69315,0,0,0,0,0,0,0,42.9553,-21.9807
"Cn1cnc2c(=O)oc3ccc(S(=O)(=O)NCc4ccc5c(c4)OCO5)cc3c21","C301-4594","CL5451",4.16725,-0.46575,0.11405,-3.7484,0.3347,-7.03325,-1.1651,0,0,0,0,0,0,0,22.9193,-16.41285
"CCc1cc(C(=O)Nc2sc3c(c2C#N)CCC3)no1","C226-2831","CL2030",6.6638,6.8568,8.3745,3.5467,17.38385,9.6648,-1.8447,0,0,0,0,0,0,0,4.2631,24.79105
"Fc1ccc(NC(c2ccccc2)c2nnc(-c3ccccc3)o2)c(F)c1","C301-5744","CL5151A",11.56935,10.1623,-2.0339,6.02835,-0.7149,-9.0407,-15.736,0,0,0,0,0,0,0,-2.00035,-12.73875
"O=C1C(c2ccccc2)=C(Nc2cccc(F)c2)c2ccccc21","C301-5820","CL6255",2.6484,-2.7578,0.61805,-0.5287,4.8106,0.52755,-7.73575,0,0,0,0,0,0,0,28.85615,11.2778
"O=C1C(c2ccccc2)=C(Nc2ccccc2)c2ccccc21","C301-5882","CL6255",-3.95805,4.11015,-2.03045,8.0504,-1.8268,10.93335,-15.31405,0,0,0,0,0,0,0,63.2282,12.44115
"Fc1ccc(C(Nc2ccc(Br)cc2)c2nnc(-c3ccccc3)o2)cc1","C301-6059","CL5151A",0.98675,4.28145,-8.525,11.3639,5.88785,3.0136,-4.9411,0,0,0,0,0,0,0,43.61965,-3.09635
"Fc1ccccc1NC(c1ccccc1)c1nnc(-c2ccccc2F)o1","C301-6320","CL5151A",-5.6155,2.88445,2.31735,9.5412,14.2165,4.99595,-0.94904,0,0,0,0,0,0,0,35.5024,1.8264
"CCCn1c(=S)[nH]c2cn(C)nc2c1=O","C200-9561","CL5403",40.24805,12.90295,0.80515,7.4357,9.02575,10.9322,-1.77595,1,0,0,0,0,0,0,34.84705,-14.52655
"Brc1cccc(-c2nnc3sc(CN4CCc5ccccc5C4)cn23)c1","C246-0234","CL2024",25.8456,24.1037,41.60125,13.85765,43.0432,12.8126,71.3126,0,0,1,0,1,0,1,81.05595,54.33835
"COCc1nc2ccccc2n1CCOc1cccc2ccccc12","C147-0248","CL5561A",1.9708,11.2755,2.21455,16.55775,8.44195,16.72405,-8.00655,0,0,0,0,0,0,0,39.7362,22.11505
"CCc1cc(Nc2ccc(F)c(Cl)c2)n2ncnc2n1","C301-8038","CL1162",-4.59085,-2.8176,-0.94455,-3.6671,-2.334,-1.8749,-0.66085,0,0,0,0,0,0,0,23.58155,-26.83525
"CCC1=Nc2cc(C(=O)NCc3ccco3)ccc2Sc2ccc(Br)cc21","C304-2157","CL3078",24.5159,28.50925,26.33275,3.8229,45.60255,19.39365,49.8226,0,0,1,0,1,0,1,47.78655,47.63265
"CCOCCCNC(=O)c1ccc2c(c1)N=C(CC)c1cc(Br)ccc1S2","C304-2176","CL3078",24.3154,16.0821,35.08955,7.03915,43.49955,9.9474,65.69495,0,0,1,0,1,0,1,81.53085,49.8518
"COc1ccc(Nc2c(-c3ccc(N(C)C)cc3)nc3ncccn23)cc1","C325-0403","CL3364A",29.9925,-8.527,-3.2985,-4.4281,3.06825,-11.19865,-9.7925,0,0,0,0,0,0,0,-6.0834,-20.38285
"O=C(NC1CCCC1)c1sc(=S)n2c1[nH]c(=O)c1ccccc12","F083-0240","CL0853",-9.8325,-5.13115,3.1026,-8.69005,6.97315,3.5527,-13.2239,0,0,0,0,0,0,0,23.6318,-8.0976
"O=C(c1sc(=S)n2c1[nH]c(=O)c1cc3c(cc12)OCO3)N1CCCCC1","F083-0408","CL0853",-10.27095,0.96695,0.17915,3.63105,-1.6527,-1.89915,-15.28325,0,0,0,0,0,0,0,20.21925,-18.56225
"CC(C)NC(=O)c1sc(=S)n2c1[nH]c(=O)c1cc3c(cc12)OCO3","F083-0421","CL0853",-5.1899,-11.495,-1.8972,-6.85625,-5.91475,-3.93225,-28.0404,0,0,0,0,0,0,0,1.30275,-22.5662
"CC(C)Cn1c(=O)c2sccc2n2c(CCC(=O)NCCCOC(C)C)nnc12","F084-0288","CL3997A",4.61485,-0.53895,0.32425,5.97895,0.71195,-3.6244,-5.13545,0,0,0,0,0,0,0,17.53905,2.10705
"CCCCCn1c(=O)c2sccc2n2c(CCC(=O)NCCC3=CCCCC3)nnc12","F084-0372","CL3997A",3.99605,-7.79375,4.237,0.2658,-1.80925,4.53365,-11.3985,0,0,0,0,0,0,0,35.77065,-12.91735
"COc1ccc(-c2nc3c(s2)CN(S(=O)(=O)c2cc(OC)ccc2OC)CC3)cc1","F398-0043","CL7789B",-2.8758,7.09255,-3.2502,8.17475,-1.03815,10.3749,-6.41835,0,0,0,0,0,0,0,62.2257,23.6834
"O=C(Nc1ccccc1)N1CCN(c2nc3ccccc3nc2C(F)(F)F)CC1","F070-1154","CL3096",1.28025,-5.85425,2.31685,8.2766,4.38225,1.7531,-10.4071,0,0,0,0,0,0,0,47.01385,-12.21915
"Nc1nc(SCC(=O)NC2CCCCC2)ncc1S(=O)(=O)c1ccc(Br)s1","F409-0328","CL7817",3.3923,-7.6394,3.76475,-2.33565,3.80395,-8.2705,-10.57995,0,0,0,0,0,0,0,42.78005,-12.95285
"O=S(=O)(c1ccc(Br)s1)N1CCC(n2c(C(F)(F)F)nc3cccnc32)CC1","F115-0294","CL7048B",0.4525,11.6607,9.37135,3.5584,12.7732,9.1941,2.0049,0,0,0,0,0,0,0,53.6542,28.54565
"CC(C)Cc1nc2cccnc2n1C1CCN(S(=O)(=O)c2ccc(F)c(F)c2)CC1","F115-0520","CL7048B",8.92815,-0.16515,2.38815,-1.1292,0.8689,14.5877,-7.5171,0,0,0,0,0,0,0,52.2666,4.92315
"COc1ccc(-c2noc(-c3c(SC)n[nH]c3N)n2)cc1","F071-0093","CL5903",4.59195,0.9395,4.18275,2.66315,6.2689,-4.0622,-3.4384,0,0,0,0,0,0,0,32.7825,-27.98945
"CSc1nccn2nc(-c3ccc(C(C)C)cc3)cc12","F415-0372","CL6914",0.625,0.56995,3.35365,-0.5307,10.8549,-4.4003,-21.7627,0,0,0,0,0,0,0,28.15695,-22.52345
"O=C(NCCn1c(C(F)(F)F)nc2ccccc21)Nc1ccc2c(c1)OCCO2","F120-0323","CL7229",-6.5046,-7.84225,-2.55265,-0.55945,-2.27175,-4.97695,-14.1372,0,0,0,0,0,0,0,35.97425,-24.85595
"CSc1cccc(Nc2c(C#N)cnc3ccccc23)c1","F360-0056","CL6761",1.8367,19.8897,26.62915,17.00075,37.6571,22.3747,27.3404,0,0,1,0,1,0,0,47.5026,52.7386
"CSc1cccc(Nc2c(C#N)cnc3ccc(Cl)cc23)c1","F360-0408","CL6761",7.1714,18.4303,29.07565,11.2497,46.70305,18.72245,35.5618,0,0,1,0,1,0,1,53.1997,51.4049
"Brc1ccccc1-c1nc(-c2ccc(N3CCOCC3)cc2)no1","F373-0520","CL7913",0.59085,3.29525,-2.91045,-1.08625,2.1945,0.04905,-12.96455,0,0,0,0,0,0,0,16.6053,18.6162
"Cc1onc(-c2ccc(Br)s2)c1C(=O)NCCN(C)C1CCCCC1","F082-1009","CL4801",9.0156,4.78255,-0.0629,1.2306,3.227,-3.3993,-22.3555,0,0,0,0,0,0,0,28.7375,-21.0546
"NC(=O)c1sc(=S)n2c1[nH]c(=O)c1ccc(Cl)cc12","F083-0067","CL0853",5.85455,-4.28955,-3.5217,1.8476,0.3909,2.03105,3.7022,0,0,0,0,0,0,0,19.89645,6.47875
"CC(C)CCNC(=O)CCc1nc2sc3c(c2c(=O)[nH]1)CCC(C(C)(C)C)C3","F145-0654","CL1720",2.2361,-1.7797,4.3391,8.20625,1.75655,9.0235,-11.0152,0,0,0,0,0,0,0,39.91125,-9.74675
"CC(C)(C)C1CCc2c(sc3nc(CCC(=O)NC4CC4)[nH]c(=O)c23)C1","F145-0672","CL1720",9.87335,4.85385,-0.23135,6.5725,-0.63345,4.44015,-13.56775,0,0,0,0,0,0,0,19.20635,-19.37695
"CCOC(=O)c1[nH]c(C)c(S(=O)(=O)NC2CCCCC2)c1C","F378-0040","CL7928",10.63125,11.2771,28.09175,15.51195,29.99935,16.41485,30.19185,0,0,1,0,0,0,0,38.593,49.65475
"CCOC(=O)c1[nH]c(C)c(S(=O)(=O)N2CCCCCC2)c1C","F378-0061","CL7928",33.06375,20.9469,39.9143,9.1977,49.50005,16.7957,55.7734,1,0,1,0,1,0,1,72.7565,48.1011
"CCN(CC)c1ccc(C2C3=C(CCCC3=O)Nc3ccc4ccccc4c32)cc1","6031-1951","CL1492",-3.04015,4.7153,0.6752,3.0813,-7.9547,-0.84825,-11.2284,0,0,0,0,0,0,0,45.99065,-4.0649
"Cc1ccc(NCCNc2cc(C)nc3c2ccc2ccccc23)c(C)c1","5507-0009","CL1166",44.71045,32.33025,48.7018,41.23205,35.45955,25.2242,4.30545,1,0,1,1,1,0,0,61.801,52.57955
"Cc1nn(C)cc1CN(C)C(=O)c1cc2nc(-c3ccco3)cc(C(F)(F)F)n2n1","6049-2084","CL6785B",-7.28755,-8.8696,-1.7192,-1.54355,-1.3376,-5.97075,-11.1766,0,0,0,0,0,0,0,36.1838,-28.7701
"CCOC(=O)c1c(C)oc2c(Br)cc(NS(=O)(=O)c3cc(C)c(C)cc3C)cc12","5591-1900","CL0749",5.0752,0.03935,-4.25095,4.9553,-4.68325,-12.9642,-20.7468,0,0,0,0,0,0,0,35.65605,-24.0721
"COc1ccc(S(=O)(=O)Nc2ccc3oc4c(c3c2)CC(C(C)(C)C)CC4)cc1","5591-3221","CL1405",2.79925,1.06515,4.08715,0.52695,4.9012,2.198,-14.95385,0,0,0,0,0,0,0,55.50355,-1.9524
